Baseline,,Sample,,Sample2,,Sample3,,Sample4,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
599.9438477,0.0005042665871,599.9438477,0.003559501143,599.9438477,0.002584389411,599.9438477,0.002876479411,599.9438477,0.002079732018,
599.0552979,0.0001124373157,599.0552979,0.003329681931,599.0552979,0.002476335037,599.0552979,0.002592540346,599.0552979,0.001909320476,
598.0183105,0.0002758508199,598.0183105,0.00364469667,598.0183105,0.002629519906,598.0183105,0.002882525092,598.0183105,0.001735545113,
596.9810791,0.0001016660972,596.9810791,0.003545773216,596.9810791,0.002801412949,596.9810791,0.002788412385,596.9810791,0.002063033869,
595.9436035,0.0004337288265,595.9436035,0.003534133546,595.9436035,0.00286235637,595.9436035,0.002852819394,595.9436035,0.002017806051,
595.0540771,0.0003694722254,595.0540771,0.003963205498,595.0540771,0.002846982796,595.0540771,0.003051833017,595.0540771,0.002179154661,
594.0160522,0.0002498714603,594.0160522,0.00356610422,594.0160522,0.002916402183,594.0160522,0.002946268301,594.0160522,0.002105951076,
592.9777222,0.0003196022008,592.9777222,0.003935332876,592.9777222,0.002841146197,592.9777222,0.002726984443,592.9777222,0.002054710872,
591.9391479,-1.86374964E-5,591.9391479,0.003949464764,591.9391479,0.00278398348,591.9391479,0.002983043669,591.9391479,0.001974403393,
591.0487061,0.0004451042623,591.0487061,0.004001660738,591.0487061,0.003276523435,591.0487061,0.003194737947,591.0487061,0.00240820949,
590.0095825,0.0003061317839,590.0095825,0.004268824589,590.0095825,0.003010490444,590.0095825,0.003157110419,590.0095825,0.00240951078,
588.9701538,0.0001392370614,588.9701538,0.004509865306,588.9701538,0.003186263144,588.9701538,0.00311200344,588.9701538,0.002464515623,
587.930481,0.0003864682221,587.930481,0.004635014571,587.930481,0.003576987889,587.930481,0.003590403358,587.930481,0.00262858253,
587.0391235,0.0001662715076,587.0391235,0.004596686456,587.0391235,0.003605150618,587.0391235,0.003407814074,587.0391235,0.002677806653,
585.9989624,0.0003838514094,585.9989624,0.005113655701,585.9989624,0.004033534788,585.9989624,0.003576335264,585.9989624,0.003020134987,
584.9584961,0.000202812138,584.9584961,0.004998737946,584.9584961,0.003843551036,584.9584961,0.003580015386,584.9584961,0.002885834314,
584.0664673,-6.864416355E-5,584.0664673,0.005228525028,584.0664673,0.003901062533,584.0664673,0.003529149108,584.0664673,0.002898290521,
583.0254517,4.152307883E-5,583.0254517,0.005386693869,583.0254517,0.004025827162,583.0254517,0.003655007808,583.0254517,0.00306523242,
581.9842529,-5.549596972E-5,581.9842529,0.005552550312,581.9842529,0.004050021525,581.9842529,0.00386389601,581.9842529,0.002974755364,
