Channel Accuracy: 10 Bits
Measurement Range 0...5V --> Resolution: 5V/2^10 = 4.9mV
Measured Single Channel at a Frequency of 1000 Hz
Time (s)	Voltage (V)
0	2.646484375
0.001004	2.6513671875
0.001996	2.646484375
0.002996	2.646484375
0.003996	2.6416015625
0.004996	2.6416015625
0.005996	2.6513671875
0.006996	2.6513671875
0.007996	2.6513671875
0.009	2.6513671875
0.009996	2.6416015625
0.011	2.646484375
0.012	2.6416015625
0.013	2.646484375
0.014	2.646484375
0.015	2.6416015625
0.015996	2.646484375
0.016996	2.646484375
0.017996	2.646484375
0.018996	2.6416015625
0.019996	2.6416015625
0.020996	2.6416015625
0.021996	2.6416015625
0.022996	2.646484375
0.023996	2.646484375
0.024996	2.646484375
0.025996	2.646484375
0.026996	2.6416015625
0.027996	2.6416015625
0.028996	2.6416015625
0.029996	2.6416015625
0.030996	2.646484375
0.031996	2.6416015625
0.032996	2.6416015625
0.033996	2.646484375
0.034996	2.6416015625
0.035996	2.6513671875
0.036996	2.646484375
0.037996	2.6416015625
0.038996	2.646484375
0.039996	2.63671875
0.040996	2.6416015625
0.041996	2.6416015625
0.042996	2.646484375
0.043996	2.6416015625
0.044996	2.6416015625
0.045996	2.63671875
0.046996	2.6416015625
0.047996	2.646484375
0.048996	2.6416015625
0.049996	2.6416015625
0.050996	2.646484375
0.052	2.6416015625
0.052996	2.646484375
0.054	2.646484375
0.055	2.646484375
0.056	2.6416015625
0.057	2.646484375
0.058	2.6416015625
0.058996	2.646484375
0.059996	2.646484375
0.060996	2.6416015625
0.061996	2.63671875
0.062996	2.6416015625
0.063996	2.6416015625
0.064996	2.63671875
0.065996	2.646484375
0.066996	2.646484375
0.067996	2.646484375
0.068996	2.63671875
0.069996	2.6416015625
0.070996	2.646484375
0.071996	2.646484375
0.072996	2.6513671875
0.073996	2.6416015625
0.074996	2.6416015625
0.075996	2.646484375
0.076996	2.6416015625
0.077996	2.646484375
0.078996	2.6513671875
0.079996	2.646484375
0.080996	2.63671875
0.081996	2.63671875
0.082996	2.6318359375
0.083996	2.63671875
0.084996	2.6416015625
0.085996	2.646484375
0.086996	2.646484375
0.087996	2.646484375
0.088996	2.646484375
0.089996	2.646484375
0.090996	2.646484375
0.091996	2.6416015625
0.092996	2.646484375
0.094004	2.646484375
0.094996	2.646484375
0.096	2.63671875
0.097	2.6416015625
0.098	2.63671875
0.099	2.646484375
0.1	2.646484375
0.100996	2.646484375
0.101996	2.646484375
0.102996	2.646484375
0.103996	2.646484375
0.104996	2.646484375
0.105996	2.646484375
0.106996	2.6416015625
0.107996	2.646484375
0.108996	2.646484375
0.109996	2.646484375
0.110996	2.646484375
0.111996	2.6416015625
0.112996	2.646484375
0.113996	2.646484375
0.114996	2.6416015625
0.115996	2.646484375
0.116996	2.646484375
0.117996	2.6416015625
0.118996	2.646484375
0.119996	2.6416015625
0.120996	2.6513671875
0.121996	2.6416015625
0.122996	2.646484375
0.123996	2.646484375
0.124996	2.63671875
0.125996	2.646484375
0.126996	2.6416015625
0.127996	2.6416015625
0.128996	2.646484375
0.129996	2.646484375
0.130996	2.6416015625
0.131996	2.646484375
0.132996	2.6416015625
0.133996	2.646484375
0.134996	2.6416015625
0.135996	2.6513671875
0.137	2.6416015625
0.137996	2.63671875
0.139	2.6416015625
0.14	2.646484375
0.141	2.646484375
0.142	2.6416015625
0.143	2.63671875
0.143996	2.646484375
0.144996	2.63671875
0.145996	2.646484375
0.146996	2.63671875
0.147996	2.63671875
0.148996	2.646484375
0.149996	2.6416015625
0.150996	2.646484375
0.151996	2.646484375
0.152996	2.646484375
0.153996	2.63671875
0.154996	2.63671875
0.155996	2.646484375
0.156996	2.6416015625
0.157996	2.646484375
0.158996	2.646484375
0.159996	2.646484375
0.160996	2.6416015625
0.161996	2.63671875
0.162996	2.6416015625
0.163996	2.6416015625
0.164996	2.6416015625
0.165996	2.646484375
0.166996	2.6416015625
0.167996	2.646484375
0.168996	2.6416015625
0.169996	2.6416015625
0.170996	2.6416015625
0.171996	2.6416015625
0.172996	2.63671875
0.173996	2.6416015625
0.174996	2.6416015625
0.175996	2.6416015625
0.176996	2.63671875
0.177996	2.6416015625
0.178996	2.63671875
0.18	2.6416015625
0.180996	2.6416015625
0.182	2.646484375
0.183	2.6416015625
0.184	2.646484375
0.185	2.63671875
0.186	2.6416015625
0.186996	2.6416015625
0.187996	2.646484375
0.188996	2.6416015625
0.189996	2.6416015625
0.190996	2.63671875
0.191996	2.6416015625
0.192996	2.646484375
0.193996	2.63671875
0.194996	2.6416015625
0.195996	2.646484375
0.196996	2.6416015625
0.197996	2.6416015625
0.198996	2.6416015625
0.199996	2.6416015625
0.200996	2.646484375
0.201996	2.6416015625
0.202996	2.646484375
0.203996	2.6416015625
0.204996	2.6416015625
0.205996	2.646484375
0.206996	2.63671875
0.207996	2.646484375
0.208996	2.6416015625
0.209996	2.6416015625
0.210996	2.646484375
0.211996	2.6416015625
0.212996	2.646484375
0.213996	2.6416015625
0.214996	2.6416015625
0.215996	2.646484375
0.216996	2.6416015625
0.217996	2.63671875
0.218996	2.63671875
0.219996	2.646484375
0.220996	2.63671875
0.222004	2.63671875
0.222996	2.646484375
0.224	2.646484375
0.225	2.6416015625
0.226	2.646484375
0.227	2.6416015625
0.228	2.6416015625
0.228996	2.646484375
0.229996	2.6416015625
0.230996	2.63671875
0.231996	2.646484375
0.232996	2.6416015625
