Channel Accuracy: 10 Bits
Measurement Range 0...5V --> Resolution: 5V/2^10 = 4.9mV
Measured Single Channel at a Frequency of 1000 Hz
Time (s)	Voltage (V)
0	2.3974609375
0.001	2.3974609375
0.002	2.40234375
0.003	2.392578125
0.004	2.3974609375
0.005	2.3974609375
0.006	2.40234375
0.007	2.40234375
0.008	2.392578125
0.009	2.3974609375
0.01	2.40234375
0.011	2.3974609375
0.012	2.3974609375
0.013	2.3974609375
0.014	2.3974609375
0.015	2.392578125
0.016	2.3974609375
0.017	2.3974609375
0.018	2.3974609375
0.019	2.3974609375
0.02	2.392578125
0.021	2.3974609375
0.022	2.3974609375
0.023	2.3974609375
0.024	2.3974609375
0.025	2.40234375
0.026	2.3974609375
0.027	2.392578125
0.028	2.3974609375
0.029	2.3974609375
0.029996	2.392578125
0.031004	2.3974609375
0.032004	2.392578125
0.033004	2.3974609375
0.034004	2.3974609375
0.035004	2.40234375
0.036004	2.40234375
0.037	2.392578125
0.038	2.40234375
0.039	2.392578125
0.04	2.3974609375
0.041	2.40234375
0.042	2.4072265625
0.043	2.3974609375
0.044	2.3974609375
0.045	2.3974609375
0.046	2.392578125
0.047	2.3974609375
0.048	2.3974609375
0.049	2.3974609375
0.05	2.3974609375
0.051	2.3974609375
0.052	2.40234375
0.053	2.392578125
0.054	2.3974609375
0.055	2.3974609375
0.056	2.3974609375
0.057	2.40234375
0.058	2.3974609375
0.059	2.3974609375
0.06	2.392578125
0.061	2.3974609375
0.062	2.40234375
0.063	2.3974609375
0.064	2.40234375
0.065	2.3974609375
0.066	2.3974609375
0.067	2.40234375
0.068	2.392578125
0.069	2.40234375
0.07	2.3974609375
0.071	2.3974609375
0.071996	2.392578125
0.073004	2.3974609375
0.074	2.40234375
0.075004	2.3974609375
0.076004	2.40234375
0.077004	2.40234375
0.078004	2.3974609375
0.079	2.392578125
0.08	2.3974609375
0.081	2.3974609375
0.082	2.40234375
0.083	2.3974609375
0.084	2.40234375
0.085	2.40234375
0.086	2.3974609375
0.087	2.40234375
0.088	2.3974609375
0.089	2.3974609375
0.09	2.3974609375
0.091	2.40234375
0.092	2.3974609375
0.093	2.3974609375
0.094	2.3974609375
0.095	2.392578125
0.096	2.392578125
0.097	2.392578125
0.098	2.392578125
0.099	2.3974609375
0.1	2.3974609375
0.101	2.3974609375
0.102	2.3974609375
0.103	2.40234375
0.104	2.4072265625
0.105	2.392578125
0.106	2.3974609375
0.107	2.40234375
0.108	2.3974609375
0.109	2.3974609375
0.11	2.3974609375
0.111	2.40234375
0.112	2.40234375
0.113	2.3974609375
0.114	2.392578125
0.115004	2.3974609375
0.116	2.40234375
0.117004	2.40234375
0.118004	2.3974609375
0.119004	2.392578125
0.120004	2.392578125
0.121004	2.40234375
0.122	2.3974609375
0.123	2.3974609375
0.124	2.392578125
0.125	2.3974609375
0.126	2.3974609375
0.127	2.40234375
0.128	2.40234375
0.129	2.3974609375
0.13	2.40234375
0.131	2.3876953125
0.132	2.392578125
0.133	2.392578125
0.134	2.40234375
0.135	2.40234375
0.136	2.3974609375
0.137	2.3974609375
0.138	2.40234375
0.139	2.40234375
0.14	2.392578125
0.141	2.40234375
0.142	2.3974609375
0.143	2.3974609375
0.144	2.392578125
0.145	2.3974609375
0.146	2.40234375
0.147	2.3974609375
0.148	2.40234375
0.149	2.3974609375
0.15	2.40234375
0.151	2.392578125
0.152	2.392578125
0.153	2.40234375
0.154	2.3974609375
0.155	2.392578125
0.156	2.40234375
0.157	2.3974609375
0.157996	2.40234375
0.159004	2.3974609375
0.160004	2.3974609375
0.161004	2.40234375
0.162004	2.40234375
0.163004	2.4072265625
0.164004	2.40234375
0.165	2.40234375
0.166	2.4072265625
0.167	2.4072265625
0.168	2.4072265625
0.169	2.40234375
0.17	2.3974609375
0.171	2.40234375
0.172	2.40234375
0.173	2.3974609375
0.174	2.4072265625
0.175	2.4072265625
0.176	2.40234375
0.177	2.40234375
0.178	2.40234375
0.179	2.40234375
0.18	2.3974609375
0.181	2.40234375
0.182	2.4072265625
0.183	2.3974609375
0.184	2.40234375
0.185	2.40234375
0.186	2.40234375
0.187	2.40234375
0.188	2.4072265625
0.189	2.3974609375
0.19	2.4072265625
0.191	2.40234375
0.192	2.3974609375
0.193	2.40234375
0.194	2.40234375
0.195	2.3974609375
0.196	2.3974609375
0.197	2.40234375
0.198	2.40234375
0.199	2.3974609375
0.199996	2.40234375
0.201004	2.4072265625
0.202	2.40234375
0.203004	2.40234375
0.204004	2.40234375
0.205004	2.3974609375
0.206004	2.40234375
0.207	2.40234375
0.208	2.40234375
0.209	2.392578125
0.21	2.3974609375
0.211	2.4072265625
0.212	2.40234375
0.213	2.40234375
0.214	2.40234375
0.215	2.3974609375
0.216	2.3974609375
0.217	2.3974609375
0.218	2.3974609375
0.219	2.40234375
0.22	2.40234375
0.221	2.40234375
0.222	2.3974609375
0.223	2.40234375
0.224	2.392578125
0.225	2.40234375
0.226	2.3974609375
0.227	2.40234375
0.228	2.3974609375
0.229	2.40234375
0.23	2.3974609375
0.231	2.392578125
0.232	2.3974609375
0.233	2.40234375
0.234	2.4072265625
0.235	2.3974609375
0.236	2.40234375
0.237	2.40234375
0.238	2.40234375
0.239	2.3974609375
0.24	2.40234375
0.241	2.40234375
0.242	2.3974609375
0.243004	2.40234375
0.244	2.3974609375
0.245004	2.3974609375
0.246004	2.3974609375
0.247004	2.40234375
0.248004	2.40234375
0.249004	2.3974609375
0.25	2.3974609375
0.251	2.40234375
0.252	2.3974609375
0.253	2.40234375
0.254	2.40234375
0.255	2.40234375
0.256	2.40234375
0.257	2.3974609375
0.258	2.3974609375
0.259	2.40234375
0.26	2.3974609375
0.261	2.3974609375
0.262	2.40234375
0.263	2.3974609375
0.264	2.392578125
0.265	2.392578125
0.266	2.3974609375
0.267	2.3974609375
0.268	2.3974609375
0.269	2.3974609375
0.27	2.40234375
0.271	2.392578125
0.272	2.40234375
0.273	2.392578125
0.274	2.392578125
0.275	2.392578125
0.276	2.392578125
0.277	2.3974609375
0.278	2.40234375
0.279	2.3974609375
0.28	2.3974609375
0.281	2.392578125
0.282	2.40234375
0.283	2.4072265625
0.284	2.40234375
0.285	2.40234375
0.285996	2.3974609375
0.287004	2.3974609375
0.288004	2.392578125
0.289004	2.3974609375
0.290004	2.40234375
0.291004	2.392578125
0.292004	2.40234375
0.293	2.3974609375
0.294	2.40234375
0.295	2.40234375
0.296	2.40234375
0.297	2.392578125
0.298	2.40234375
0.299	2.40234375
0.3	2.3974609375
0.301	2.3974609375
0.302	2.40234375
0.303	2.392578125
0.304	2.3974609375
0.305	2.40234375
0.306	2.3974609375
0.307	2.3974609375
0.308	2.3974609375
0.309	2.3974609375
0.31	2.3974609375
0.311	2.392578125
0.312	2.40234375
0.313	2.40234375
0.314	2.3974609375
0.315	2.3974609375
0.316	2.3974609375
0.317	2.40234375
0.318	2.392578125
0.319	2.3974609375
0.32	2.40234375
0.321	2.392578125
0.322	2.3974609375
0.323	2.3974609375
0.324	2.3974609375
0.325	2.392578125
0.326	2.40234375
0.327	2.3974609375
0.327996	2.3974609375
0.329004	2.3974609375
0.33	2.392578125
0.331004	2.3974609375
0.332004	2.3974609375
0.333004	2.392578125
0.334004	2.3974609375
0.335	2.392578125
0.336	2.392578125
0.337	2.392578125
0.338	2.3974609375
0.339	2.3974609375
0.34	2.3974609375
0.341	2.392578125
0.342	2.392578125
0.343	2.3974609375
0.344	2.3974609375
0.345	2.3974609375
0.346	2.392578125
0.347	2.3974609375
0.348	2.3974609375
0.349	2.3974609375
0.35	2.392578125
0.351	2.3974609375
0.352	2.3974609375
0.353	2.3974609375
0.354	2.3974609375
0.355	2.3974609375
0.356	2.3974609375
0.357	2.3974609375
0.358	2.392578125
0.359	2.392578125
0.36	2.3974609375
0.361	2.3974609375
0.362	2.392578125
0.363	2.3974609375
0.364	2.3974609375
0.365	2.392578125
0.366	2.392578125
0.367	2.392578125
0.368	2.3974609375
0.369	2.3974609375
0.37	2.3974609375
0.371004	2.3974609375
0.372	2.40234375
0.373004	2.3876953125
0.374004	2.3974609375
0.375004	2.3974609375
0.376004	2.392578125
0.377004	2.3974609375
0.378	2.392578125
0.379	2.3974609375
0.38	2.392578125
0.381	2.3876953125
0.382	2.3974609375
0.383	2.3974609375
0.384	2.3876953125
0.385	2.3974609375
0.386	2.3974609375
0.387	2.40234375
0.388	2.3974609375
0.389	2.3974609375
0.39	2.40234375
0.391	2.3876953125
0.392	2.3974609375
0.393	2.3974609375
0.394	2.3974609375
0.395	2.392578125
0.396	2.392578125
0.397	2.3974609375
0.398	2.3876953125
0.399	2.392578125
0.4	2.392578125
0.401	2.3974609375
0.402	2.3974609375
0.403	2.3974609375
0.404	2.3974609375
0.405	2.392578125
0.406	2.3974609375
0.407	2.3974609375
0.408	2.40234375
0.409	2.3974609375
0.41	2.3974609375
0.411	2.3974609375
0.412	2.392578125
0.413	2.40234375
0.413996	2.3974609375
0.415004	2.3974609375
0.416004	2.392578125
0.417004	2.392578125
0.418004	2.3974609375
0.419004	2.3974609375
0.420004	2.3974609375
0.421	2.40234375
0.422	2.3974609375
0.423	2.3876953125
0.424	2.392578125
0.425	2.3974609375
0.426	2.392578125
0.427	2.40234375
0.428	2.392578125
0.429	2.392578125
0.43	2.3974609375
0.431	2.392578125
0.432	2.3974609375
0.433	2.3974609375
0.434	2.392578125
0.435	2.40234375
0.436	2.3974609375
0.437	2.3974609375
0.438	2.3974609375
0.439	2.3974609375
0.44	2.3974609375
0.441	2.392578125
0.442	2.392578125
0.443	2.3974609375
0.444	2.392578125
0.445	2.3974609375
0.446	2.3974609375
0.447	2.392578125
0.448	2.3974609375
0.449	2.40234375
0.45	2.3876953125
0.451	2.3974609375
0.452	2.40234375
0.453	2.392578125
0.454	2.3974609375
0.455	2.3974609375
0.455996	2.3974609375
0.457004	2.392578125
0.458	2.3974609375
0.459004	2.3974609375
0.460004	2.3974609375
0.461004	2.392578125
0.462004	2.3876953125
0.463	2.392578125
0.464	2.392578125
0.465	2.3974609375
0.466	2.3974609375
0.467	2.3974609375
0.468	2.3974609375
0.469	2.3876953125
0.47	2.3876953125
0.471	2.3876953125
0.472	2.392578125
0.473	2.3828125
0.474	2.3876953125
0.475	2.392578125
0.476	2.392578125
0.477	2.3876953125
0.478	2.392578125
0.479	2.3876953125
0.48	2.392578125
0.481	2.3974609375
0.482	2.3876953125
0.483	2.3974609375
0.484	2.392578125
0.485	2.392578125
0.486	2.392578125
0.487	2.392578125
0.488	2.392578125
0.489	2.392578125
0.49	2.392578125
0.491	2.392578125
0.492	2.392578125
0.493	2.392578125
0.494	2.3974609375
0.495	2.3876953125
0.496	2.3876953125
0.497	2.3828125
0.498	2.3828125
0.499004	2.392578125
0.5	2.3876953125
0.501004	2.3876953125
0.502004	2.3828125
0.503004	2.392578125
0.504004	2.3876953125
0.505004	2.3876953125
0.506	2.392578125
0.507	2.3828125
0.508	2.3876953125
0.509	2.3876953125
0.51	2.3828125
0.511	2.3828125
0.512	2.3876953125
0.513	2.3876953125
0.514	2.3876953125
0.515	2.3828125
0.516	2.3779296875
0.517	2.3779296875
0.518	2.3828125
0.519	2.3779296875
0.52	2.3828125
0.521	2.3876953125
0.522	2.3779296875
0.523	2.3828125
0.524	2.3876953125
0.525	2.3828125
0.526	2.3779296875
0.527	2.373046875
0.528	2.3779296875
0.529	2.3828125
0.53	2.373046875
0.531	2.373046875
0.532	2.3828125
0.533	2.3779296875
0.534	2.3828125
0.535	2.3779296875
0.536	2.3828125
0.537	2.3828125
0.538	2.3779296875
0.539	2.3828125
0.54	2.3828125
0.541	2.3828125
0.541996	2.3828125
0.543004	2.3828125
0.544004	2.3828125
0.545004	2.3828125
0.546004	2.3828125
0.547004	2.3828125
0.548004	2.3876953125
0.549	2.3828125
0.55	2.392578125
0.551	2.3828125
0.552	2.3876953125
0.553	2.392578125
0.554	2.3828125
0.555	2.3876953125
0.556	2.392578125
0.557	2.3974609375
0.558	2.3974609375
0.559	2.40234375
0.56	2.412109375
0.561	2.4072265625
0.562	2.412109375
0.563	2.4169921875
0.564	2.421875
0.565	2.4365234375
0.566	2.44140625
0.567	2.451171875
0.568	2.470703125
0.569	2.490234375
0.57	2.5
0.571	2.5390625
0.572	2.568359375
0.573	2.59765625
0.574	2.6220703125
0.575	2.6708984375
0.576	2.705078125
0.577	2.7294921875
0.578	2.7685546875
0.579	2.8271484375
0.58	2.8564453125
0.581	2.890625
0.582	2.9296875
0.583	2.9541015625
0.583996	2.9931640625
0.585004	3.0322265625
0.586	3.0517578125
0.587004	3.076171875
0.588004	3.0908203125
0.589004	3.1103515625
0.590004	3.125
0.591	3.125
0.592	3.1201171875
0.593	3.125
0.594	3.125
0.595	3.1103515625
0.596	3.1005859375
0.597	3.0810546875
0.598	3.056640625
0.599	3.0224609375
0.6	3.0078125
0.601	2.9736328125
0.602	2.9296875
0.603	2.8955078125
0.604	2.8759765625
0.605	2.8271484375
0.606	2.783203125
0.607	2.734375
0.608	2.7294921875
0.609	2.705078125
0.61	2.6416015625
0.611	2.6220703125
0.612	2.5830078125
0.613	2.5537109375
0.614	2.529296875
0.615	2.5146484375
0.616	2.4853515625
0.617	2.470703125
0.618	2.4609375
0.619	2.451171875
0.62	2.4560546875
0.621	2.451171875
0.622	2.4658203125
0.623	2.4658203125
0.624	2.4853515625
0.625	2.4951171875
0.626	2.51953125
0.627004	2.5341796875
0.628	2.578125
0.629004	2.5927734375
0.630004	2.6220703125
0.631004	2.65625
0.632004	2.6953125
0.633004	2.7197265625
0.634	2.7587890625
0.635	2.802734375
0.636	2.8466796875
0.637	2.880859375
0.638	2.9052734375
0.639	2.9541015625
0.64	2.9736328125
0.641	3.0029296875
0.642	3.0419921875
0.643	3.0615234375
0.644	3.076171875
0.645	3.1005859375
0.646	3.10546875
0.647	3.10546875
0.648	3.115234375
0.649	3.1103515625
0.65	3.1103515625
0.651	3.10546875
0.652	3.1005859375
0.653	3.0859375
