Channel Accuracy: 10 Bits
Measurement Range 0...5V --> Resolution: 5V/2^10 = 4.9mV
Measured Single Channel at a Frequency of 1000 Hz
Time (s)	Voltage (V)
0	2.255859375
0.001	2.255859375
0.002	2.265625
0.003	2.265625
0.004	2.2607421875
0.005	2.2607421875
0.006	2.265625
0.007	2.265625
0.008	2.2607421875
0.009	2.2607421875
0.01	2.2607421875
0.011	2.265625
0.012	2.265625
0.013	2.265625
0.014	2.2607421875
0.015	2.265625
0.016	2.2607421875
0.017	2.265625
0.018	2.265625
0.019	2.265625
0.02	2.255859375
0.021	2.2607421875
0.022	2.255859375
0.023	2.2607421875
0.024	2.2607421875
0.025	2.255859375
0.026	2.255859375
0.027	2.2607421875
0.028	2.2607421875
0.029	2.2607421875
0.03	2.255859375
0.030996	2.265625
0.032004	2.2607421875
0.033	2.265625
0.034004	2.2607421875
0.035004	2.255859375
0.036004	2.2607421875
0.037004	2.2607421875
0.038	2.265625
0.039	2.2607421875
0.04	2.255859375
0.041	2.2607421875
0.042	2.2607421875
0.043	2.2607421875
0.044	2.255859375
0.045	2.255859375
0.046	2.2607421875
0.047	2.2607421875
0.048	2.2607421875
0.049	2.255859375
0.05	2.2607421875
0.051	2.2607421875
0.052	2.255859375
0.053	2.2607421875
0.054	2.2607421875
0.055	2.2607421875
0.056	2.255859375
0.057	2.2607421875
0.058	2.2607421875
0.059	2.2607421875
0.06	2.255859375
0.061	2.2509765625
0.062	2.265625
0.063	2.265625
0.064	2.2607421875
0.065	2.265625
0.066	2.255859375
0.067	2.2607421875
0.068	2.2607421875
0.069	2.2607421875
0.07	2.255859375
0.071	2.2607421875
0.072	2.255859375
0.073	2.2607421875
0.073996	2.2607421875
0.075004	2.2607421875
0.076	2.265625
0.077004	2.255859375
0.078004	2.2607421875
0.079004	2.255859375
0.080004	2.2607421875
0.081	2.2509765625
0.082	2.2607421875
0.083	2.2607421875
0.084	2.2607421875
0.085	2.255859375
0.086	2.2607421875
0.087	2.2607421875
0.088	2.2607421875
0.089	2.265625
0.09	2.2607421875
0.091	2.265625
0.092	2.265625
0.093	2.2607421875
0.094	2.2607421875
0.095	2.265625
0.096	2.2607421875
0.097	2.265625
0.098	2.265625
0.099	2.255859375
0.1	2.265625
0.101	2.265625
0.102	2.265625
0.103	2.2607421875
0.104	2.265625
0.105	2.2607421875
0.106	2.265625
0.107	2.2607421875
0.108	2.265625
0.109	2.2607421875
0.11	2.2607421875
0.111	2.265625
0.112	2.265625
0.113	2.265625
0.114	2.265625
0.115	2.265625
0.116	2.255859375
0.117004	2.2607421875
0.118	2.265625
0.119004	2.2607421875
0.120004	2.2607421875
0.121004	2.2607421875
0.122004	2.2607421875
0.123004	2.2607421875
0.124	2.2607421875
0.125	2.2607421875
0.126	2.2607421875
0.127	2.2607421875
0.128	2.265625
0.129	2.265625
0.13	2.2607421875
0.131	2.265625
0.132	2.265625
0.133	2.2607421875
0.134	2.265625
0.135	2.2607421875
0.136	2.265625
0.137	2.2607421875
0.138	2.265625
0.139	2.265625
0.14	2.255859375
0.141	2.2607421875
0.142	2.2607421875
0.143	2.2607421875
0.144	2.2607421875
0.145	2.265625
0.146	2.265625
0.147	2.265625
0.148	2.265625
0.149	2.2607421875
0.15	2.265625
0.151	2.265625
0.152	2.265625
0.153	2.255859375
0.154	2.265625
0.155	2.265625
0.156	2.2607421875
0.157	2.2607421875
0.158	2.2607421875
0.158996	2.255859375
0.160004	2.2607421875
0.161	2.255859375
0.162004	2.265625
0.163004	2.265625
0.164004	2.265625
0.165004	2.2607421875
0.166	2.265625
0.167	2.265625
0.168	2.2607421875
0.169	2.265625
0.17	2.2607421875
0.171	2.265625
0.172	2.2607421875
0.173	2.2607421875
0.174	2.2607421875
0.175	2.2607421875
0.176	2.265625
0.177	2.2607421875
0.178	2.255859375
0.179	2.2607421875
0.18	2.255859375
0.181	2.265625
0.182	2.265625
0.183	2.255859375
0.184	2.255859375
0.185	2.2607421875
0.186	2.265625
0.187	2.255859375
0.188	2.265625
0.189	2.265625
0.19	2.265625
0.191	2.265625
0.192	2.265625
0.193	2.2607421875
0.194	2.255859375
0.195	2.2607421875
0.196	2.255859375
0.197	2.265625
0.198	2.2607421875
0.199	2.265625
0.2	2.265625
0.201	2.2607421875
0.201996	2.265625
0.203004	2.2607421875
0.204	2.2607421875
0.205004	2.265625
0.206004	2.2607421875
0.207004	2.265625
0.208004	2.2607421875
0.209	2.265625
0.21	2.265625
0.211	2.2607421875
0.212	2.2607421875
0.213	2.2607421875
0.214	2.2607421875
0.215	2.255859375
0.216	2.255859375
0.217	2.255859375
0.218	2.2607421875
0.219	2.2607421875
0.22	2.255859375
0.221	2.2607421875
0.222	2.2607421875
0.223	2.265625
0.224	2.2607421875
0.225	2.265625
0.226	2.265625
0.227	2.2607421875
0.228	2.265625
0.229	2.265625
0.23	2.265625
0.231	2.255859375
0.232	2.265625
0.233	2.265625
0.234	2.265625
0.235	2.2607421875
0.236	2.265625
0.237	2.265625
0.238	2.265625
0.239	2.265625
0.24	2.255859375
0.241	2.2607421875
0.242	2.2607421875
0.243	2.2607421875
0.244	2.265625
0.245004	2.2607421875
0.246	2.265625
0.247004	2.265625
0.248004	2.2607421875
0.249004	2.265625
0.250004	2.2705078125
0.251004	2.265625
0.252	2.265625
0.253	2.265625
0.254	2.2607421875
0.255	2.2607421875
0.256	2.265625
0.257	2.2607421875
0.258	2.265625
0.259	2.265625
0.26	2.255859375
0.261	2.265625
0.262	2.2607421875
0.263	2.2607421875
0.264	2.265625
0.265	2.2607421875
0.266	2.255859375
0.267	2.265625
0.268	2.265625
0.269	2.2607421875
0.27	2.265625
0.271	2.255859375
0.272	2.2607421875
0.273	2.2607421875
0.274	2.265625
0.275	2.2607421875
0.276	2.2607421875
0.277	2.2607421875
0.278	2.265625
0.279	2.265625
0.28	2.2607421875
0.281	2.2607421875
0.282	2.2607421875
0.283	2.255859375
0.284	2.265625
0.285	2.2607421875
0.286	2.2607421875
0.286996	2.255859375
0.288004	2.2607421875
0.289	2.265625
0.290004	2.2607421875
0.291004	2.265625
0.292004	2.2607421875
0.293004	2.2607421875
0.294	2.255859375
0.295	2.255859375
0.296	2.265625
0.297	2.2607421875
0.298	2.2607421875
0.299	2.265625
0.3	2.2607421875
0.301	2.2607421875
0.302	2.265625
0.303	2.2607421875
0.304	2.255859375
0.305	2.2607421875
0.306	2.255859375
0.307	2.265625
0.308	2.265625
0.309	2.2607421875
0.31	2.265625
0.311	2.255859375
0.312	2.255859375
0.313	2.2607421875
0.314	2.2509765625
0.315	2.255859375
0.316	2.2607421875
0.317	2.2607421875
0.318	2.2607421875
0.319	2.255859375
0.32	2.2607421875
0.321	2.2607421875
0.322	2.2607421875
0.323	2.2607421875
0.324	2.255859375
0.325	2.255859375
0.326	2.2607421875
0.327	2.2607421875
0.328	2.2607421875
0.329	2.2607421875
0.329996	2.2607421875
0.331004	2.265625
0.332	2.255859375
0.333004	2.255859375
0.334004	2.2607421875
0.335004	2.2607421875
0.336004	2.2607421875
0.337	2.255859375
0.338	2.2607421875
0.339	2.2607421875
0.34	2.2607421875
0.341	2.2607421875
0.342	2.2607421875
0.343	2.2607421875
0.344	2.255859375
0.345	2.2607421875
0.346	2.2607421875
0.347	2.255859375
0.348	2.2509765625
0.349	2.255859375
0.35	2.2607421875
0.351	2.2607421875
0.352	2.2509765625
0.353	2.2607421875
0.354	2.2509765625
0.355	2.255859375
0.356	2.2607421875
0.357	2.2607421875
0.358	2.2607421875
0.359	2.255859375
0.36	2.255859375
0.361	2.2607421875
0.362	2.255859375
0.363	2.255859375
0.364	2.255859375
0.365	2.2607421875
0.366	2.255859375
0.367	2.255859375
0.368	2.2509765625
0.369	2.255859375
0.37	2.2509765625
0.371	2.2509765625
0.372	2.255859375
0.373004	2.2509765625
0.374	2.255859375
0.375004	2.255859375
0.376004	2.2509765625
0.377004	2.2509765625
0.378004	2.255859375
0.379004	2.255859375
0.38	2.2509765625
0.381	2.255859375
0.382	2.2509765625
0.383	2.24609375
0.384	2.2509765625
0.385	2.2509765625
0.386	2.255859375
0.387	2.255859375
0.388	2.255859375
0.389	2.24609375
0.39	2.2509765625
0.391	2.255859375
0.392	2.24609375
0.393	2.2509765625
0.394	2.2509765625
0.395	2.255859375
0.396	2.255859375
0.397	2.255859375
0.398	2.255859375
0.399	2.255859375
0.4	2.2509765625
0.401	2.2607421875
0.402	2.255859375
0.403	2.255859375
0.404	2.2509765625
0.405	2.255859375
0.406	2.255859375
0.407	2.2509765625
0.408	2.255859375
0.409	2.255859375
0.41	2.2509765625
0.411	2.2509765625
0.412	2.2412109375
0.413	2.2509765625
0.414	2.2509765625
0.414996	2.2509765625
0.416004	2.2509765625
0.417	2.2412109375
0.418004	2.255859375
0.419004	2.24609375
0.420004	2.24609375
0.421004	2.2509765625
0.422	2.24609375
0.423	2.255859375
0.424	2.2509765625
0.425	2.2509765625
0.426	2.2412109375
0.427	2.2509765625
0.428	2.2509765625
0.429	2.2509765625
0.43	2.2509765625
0.431	2.24609375
0.432	2.2509765625
0.433	2.2412109375
0.434	2.2509765625
0.435	2.24609375
0.436	2.24609375
0.437	2.24609375
0.438	2.2509765625
0.439	2.2509765625
0.44	2.2509765625
0.441	2.24609375
0.442	2.24609375
0.443	2.24609375
0.444	2.24609375
0.445	2.2412109375
0.446	2.2509765625
0.447	2.24609375
0.448	2.2412109375
0.449	2.2412109375
0.45	2.2509765625
0.451	2.2509765625
0.452	2.2412109375
0.453	2.24609375
0.454	2.24609375
0.455	2.2509765625
0.456	2.2509765625
0.457	2.2412109375
0.457996	2.24609375
0.459004	2.24609375
0.46	2.24609375
0.461004	2.24609375
0.462004	2.24609375
0.463004	2.24609375
0.464004	2.2509765625
0.465	2.24609375
0.466	2.2509765625
0.467	2.2412109375
0.468	2.24609375
0.469	2.2412109375
0.47	2.2509765625
0.471	2.2412109375
0.472	2.24609375
0.473	2.2412109375
0.474	2.24609375
0.475	2.2509765625
0.476	2.2412109375
0.477	2.236328125
0.478	2.236328125
0.479	2.24609375
0.48	2.2412109375
0.481	2.24609375
0.482	2.2509765625
0.483	2.24609375
0.484	2.2509765625
0.485	2.2412109375
0.486	2.24609375
0.487	2.24609375
0.488	2.2509765625
0.489	2.2412109375
0.49	2.24609375
0.491	2.2412109375
0.492	2.24609375
0.493	2.24609375
0.494	2.24609375
0.495	2.2412109375
0.496	2.24609375
0.497	2.24609375
0.498	2.24609375
0.499	2.2412109375
0.5	2.24609375
0.501004	2.2412109375
0.502	2.24609375
0.503004	2.2412109375
0.504004	2.236328125
0.505004	2.2412109375
0.506004	2.2509765625
0.507004	2.2509765625
0.508	2.24609375
0.509	2.24609375
0.51	2.236328125
0.511	2.24609375
0.512	2.24609375
0.513	2.2509765625
0.514	2.236328125
0.515	2.2412109375
0.516	2.2412109375
0.517	2.24609375
0.518	2.2412109375
0.519	2.2412109375
0.52	2.236328125
0.521	2.24609375
0.522	2.24609375
0.523	2.24609375
0.524	2.24609375
0.525	2.24609375
0.526	2.24609375
0.527	2.24609375
0.528	2.24609375
0.529	2.2412109375
0.53	2.236328125
0.531	2.2509765625
0.532	2.24609375
0.533	2.2412109375
0.534	2.24609375
0.535	2.24609375
0.536	2.24609375
0.537	2.2412109375
0.538	2.2412109375
0.539	2.2412109375
0.54	2.2412109375
0.541	2.24609375
0.542	2.24609375
0.542996	2.2412109375
0.544004	2.24609375
0.545	2.24609375
0.546004	2.24609375
0.547004	2.2412109375
0.548004	2.24609375
0.549004	2.24609375
0.55	2.2412109375
0.551	2.2412109375
0.552	2.24609375
0.553	2.24609375
0.554	2.2412109375
0.555	2.24609375
0.556	2.2509765625
0.557	2.24609375
0.558	2.24609375
0.559	2.24609375
0.56	2.24609375
0.561	2.24609375
0.562	2.2509765625
0.563	2.24609375
0.564	2.2412109375
0.565	2.2412109375
0.566	2.24609375
0.567	2.24609375
0.568	2.24609375
0.569	2.2412109375
0.57	2.2412109375
0.571	2.2509765625
0.572	2.2509765625
0.573	2.2509765625
0.574	2.2509765625
0.575	2.2509765625
0.576	2.2412109375
0.577	2.2412109375
0.578	2.24609375
0.579	2.24609375
0.58	2.2509765625
0.581	2.24609375
0.582	2.2509765625
0.583	2.2509765625
0.584	2.24609375
0.585	2.2509765625
0.585996	2.2509765625
0.587004	2.24609375
0.588	2.2509765625
0.589004	2.2509765625
0.590004	2.24609375
0.591004	2.2509765625
0.592004	2.2509765625
0.593	2.2509765625
0.594	2.2509765625
0.595	2.2509765625
0.596	2.2509765625
0.597	2.2509765625
0.598	2.24609375
0.599	2.2509765625
0.6	2.24609375
0.601	2.2509765625
0.602	2.2509765625
0.603	2.24609375
0.604	2.255859375
0.605	2.2607421875
0.606	2.255859375
0.607	2.255859375
0.608	2.2509765625
0.609	2.24609375
0.61	2.24609375
0.611	2.2509765625
0.612	2.24609375
0.613	2.2607421875
0.614	2.255859375
0.615	2.255859375
0.616	2.2509765625
0.617	2.255859375
0.618	2.2607421875
0.619	2.255859375
0.62	2.2607421875
0.621	2.2607421875
0.622	2.2509765625
0.623	2.2509765625
0.624	2.2607421875
0.625	2.255859375
0.626	2.2607421875
0.627	2.255859375
0.628	2.255859375
0.629004	2.255859375
0.63	2.2607421875
0.631004	2.2607421875
0.632004	2.2607421875
0.633004	2.2607421875
0.634004	2.255859375
0.635004	2.2607421875
0.636	2.265625
0.637	2.2607421875
0.638	2.2607421875
0.639	2.265625
0.64	2.255859375
0.641	2.2607421875
0.642	2.2607421875
0.643	2.265625
0.644	2.265625
0.645	2.265625
0.646	2.2705078125
0.647	2.265625
0.648	2.2705078125
0.649	2.2705078125
0.65	2.275390625
0.651	2.2705078125
0.652	2.275390625
0.653	2.275390625
0.654	2.28515625
0.655	2.28515625
0.656	2.28515625
0.657	2.28515625
0.658	2.28515625
0.659	2.294921875
0.66	2.28515625
0.661	2.2998046875
0.662	2.2998046875
0.663	2.3046875
0.664	2.3046875
0.665	2.3095703125
0.666	2.3193359375
0.667	2.3193359375
0.668	2.3193359375
0.669	2.32421875
0.67	2.333984375
0.670996	2.34375
0.672004	2.353515625
0.673	2.3779296875
0.674004	2.3974609375
0.675004	2.421875
0.676004	2.44140625
0.677004	2.4658203125
0.678	2.490234375
0.679	2.51953125
0.68	2.5634765625
0.681	2.6025390625
0.682	2.6318359375
0.683	2.685546875
0.684	2.705078125
0.685	2.734375
0.686	2.7880859375
0.687	2.8515625
0.688	2.880859375
0.689	2.9150390625
0.69	2.9638671875
0.691	2.998046875
0.692	3.0419921875
0.693	3.0712890625
0.694	3.10546875
0.695	3.14453125
0.696	3.173828125
0.697	3.212890625
0.698	3.232421875
0.699	3.2470703125
0.7	3.28125
0.701	3.28125
0.702	3.291015625
0.703	3.2958984375
0.704	3.310546875
0.705	3.310546875
0.706	3.3056640625
0.707	3.30078125
0.708	3.2958984375
0.709	3.291015625
0.71	3.28125
0.711	3.2568359375
0.712	3.232421875
0.713	3.22265625
0.713996	3.1884765625
0.715004	3.1396484375
0.716	3.115234375
0.717004	3.095703125
0.718004	3.056640625
0.719004	3.0126953125
0.720004	2.98828125
0.721	2.939453125
0.722	2.9052734375
0.723	2.8759765625
0.724	2.802734375
0.725	2.7587890625
0.726	2.7490234375
0.727	2.71484375
0.728	2.65625
0.729	2.6171875
0.73	2.587890625
0.731	2.568359375
0.732	2.529296875
0.733	2.5
0.734	2.470703125
0.735	2.44140625
0.736	2.421875
0.737	2.4072265625
0.738	2.392578125
0.739	2.373046875
0.74	2.3681640625
0.741	2.353515625
0.742	2.3486328125
0.743	2.36328125
0.744	2.353515625
0.745	2.373046875
0.746	2.392578125
0.747	2.40234375
0.748	2.4169921875
0.749	2.431640625
0.75	2.4609375
0.751	2.470703125
0.752	2.509765625
0.753	2.5439453125
0.754	2.578125
0.755	2.6220703125
0.756	2.646484375
0.757004	2.67578125
0.758	2.7099609375
0.759004	2.7392578125
0.760004	2.79296875
0.761004	2.841796875
0.762004	2.87109375
0.763004	2.9052734375
0.764	2.958984375
0.765	2.98828125
0.766	3.0224609375
0.767	3.0712890625
0.768	3.095703125
0.769	3.14453125
0.77	3.173828125
0.771	3.203125
0.772	3.2177734375
0.773	3.2421875
0.774	3.251953125
0.775	3.2666015625
0.776	3.28125
0.777	3.291015625
0.778	3.2958984375
0.779	3.30078125
0.78	3.3056640625
0.781	3.2958984375
0.782	3.2861328125
0.783	3.2763671875
0.784	3.26171875
0.785	3.2470703125
0.786	3.2275390625
0.787	3.1982421875
0.788	3.1689453125
0.789	3.1494140625
0.79	3.1103515625
0.791	3.0810546875
0.792	3.0419921875
0.793	3.017578125
0.794	2.9833984375
0.795	2.9443359375
0.796	2.8955078125
0.797	2.8515625
0.798	2.7978515625
0.798996	2.7685546875
0.800004	2.734375
0.801	2.705078125
0.802004	2.6806640625
0.803004	2.626953125
0.804004	2.6025390625
0.805004	2.568359375
0.806	2.5439453125
0.807	2.5048828125
0.808	2.48046875
0.809	2.451171875
0.81	2.421875
0.811	2.412109375
0.812	2.3974609375
0.813	2.3828125
0.814	2.3828125
0.815	2.3779296875
0.816	2.373046875
0.817	2.3779296875
0.818	2.3876953125
0.819	2.392578125
0.82	2.4072265625
0.821	2.4169921875
0.822	2.4267578125
0.823	2.4462890625
0.824	2.470703125
0.825	2.4853515625
0.826	2.51953125
0.827	2.568359375
0.828	2.5927734375
0.829	2.607421875
0.83	2.6611328125
0.831	2.6904296875
0.832	2.7099609375
0.833	2.7392578125
0.834	2.7783203125
0.835	2.83203125
0.836	2.8759765625
0.837	2.9052734375
0.838	2.9443359375
0.839	2.9931640625
0.84	3.02734375
0.841	3.0615234375
0.841996	3.1005859375
0.843004	3.125
0.844	3.1494140625
0.845004	3.1787109375
0.846004	3.1982421875
0.847004	3.2275390625
0.848004	3.2421875
0.849	3.251953125
0.85	3.271484375
0.851	3.2861328125
0.852	3.28125
0.853	3.291015625
0.854	3.28125
0.855	3.2861328125
0.856	3.2666015625
0.857	3.2568359375
0.858	3.2421875
0.859	3.232421875
0.86	3.193359375
0.861	3.18359375
0.862	3.1640625
