Channel Accuracy: 10 Bits
Measurement Range 0...5V --> Resolution: 5V/2^10 = 4.9mV
Measured Single Channel at a Frequency of 1000 Hz
Time (s)	Voltage (V)
0	1.9482421875
0.001004	1.9482421875
0.001996	1.953125
0.002996	1.9482421875
0.003996	1.9482421875
0.004996	1.9482421875
0.005996	1.9580078125
0.006996	1.9580078125
0.007996	1.953125
0.008996	1.953125
0.009996	1.9482421875
0.010996	1.9482421875
0.011996	1.9482421875
0.012996	1.953125
0.013996	1.953125
0.014996	1.953125
0.015996	1.953125
0.016996	1.9580078125
0.017996	1.9580078125
0.018996	1.953125
0.019996	1.953125
0.020996	1.9580078125
0.021996	1.953125
0.022996	1.9580078125
0.023996	1.9580078125
0.024996	1.9580078125
0.025996	1.9482421875
0.026996	1.953125
0.027996	1.953125
0.028996	1.9580078125
0.029996	1.953125
0.031004	1.953125
0.031996	1.9580078125
0.033	1.953125
0.034	1.962890625
0.035	1.962890625
0.036	1.9580078125
0.037	1.953125
0.037996	1.9580078125
0.038996	1.953125
0.039996	1.9580078125
0.040996	1.953125
0.041996	1.9580078125
0.042996	1.9580078125
0.043996	1.953125
0.044996	1.953125
0.045996	1.9580078125
0.046996	1.9580078125
0.047996	1.9580078125
0.048996	1.962890625
0.049996	1.962890625
0.050996	1.9580078125
0.051996	1.9580078125
0.052996	1.962890625
0.053996	1.953125
0.054996	1.953125
0.055996	1.9580078125
0.056996	1.953125
0.057996	1.9580078125
0.058996	1.9580078125
0.059996	1.953125
0.060996	1.953125
0.061996	1.953125
0.062996	1.9580078125
0.063996	1.9580078125
0.064996	1.953125
0.065996	1.9580078125
0.066996	1.9580078125
0.067996	1.953125
0.068996	1.962890625
0.069996	1.9580078125
0.070996	1.9580078125
0.071996	1.9580078125
0.072996	1.953125
0.074	1.9580078125
0.074996	1.9580078125
0.076	1.9580078125
0.077	1.953125
0.078	1.9580078125
0.079	1.9580078125
0.08	1.9580078125
0.080996	1.9580078125
0.081996	1.962890625
0.082996	1.9580078125
0.083996	1.953125
0.084996	1.9580078125
0.085996	1.962890625
0.086996	1.9580078125
0.087996	1.9580078125
0.088996	1.9580078125
0.089996	1.953125
0.090996	1.962890625
0.091996	1.962890625
0.092996	1.962890625
0.093996	1.9580078125
0.094996	1.9677734375
0.095996	1.962890625
0.096996	1.962890625
0.097996	1.962890625
0.098996	1.9580078125
0.099996	1.9580078125
0.100996	1.962890625
0.101996	1.962890625
0.102996	1.953125
0.103996	1.9580078125
0.104996	1.9580078125
0.105996	1.9580078125
0.106996	1.9580078125
0.107996	1.962890625
0.108996	1.9580078125
0.109996	1.953125
0.110996	1.9677734375
0.111996	1.962890625
0.112996	1.9580078125
0.113996	1.97265625
0.114996	1.9677734375
0.115996	1.9677734375
0.117	1.962890625
0.117996	1.962890625
0.119	1.9580078125
0.12	1.962890625
0.121	1.962890625
0.122	1.97265625
0.123	1.9677734375
0.123996	1.97265625
