Channel Accuracy: 10 Bits
Measurement Range 0...5V --> Resolution: 5V/2^10 = 4.9mV
Measured Single Channel at a Frequency of 1000 Hz
Time (s)	Voltage (V)
0	1.884765625
0.001004	1.8896484375
0.001996	1.89453125
0.002996	1.89453125
0.003996	1.884765625
0.004996	1.8896484375
0.005996	1.89453125
0.007004	1.8896484375
0.007996	1.884765625
0.009	1.8896484375
0.01	1.8896484375
0.011	1.8896484375
0.012	1.884765625
0.013	1.89453125
0.013996	1.8896484375
0.014996	1.8896484375
0.015996	1.8896484375
0.016996	1.884765625
0.017996	1.8896484375
0.018996	1.8896484375
0.019996	1.8896484375
0.020996	1.8896484375
0.021996	1.884765625
0.022996	1.8896484375
0.023996	1.8896484375
0.024996	1.89453125
0.025996	1.8896484375
0.026996	1.89453125
0.027996	1.8896484375
0.028996	1.884765625
0.029996	1.884765625
0.030996	1.89453125
0.031996	1.884765625
0.032996	1.8896484375
0.033996	1.884765625
0.034996	1.884765625
0.035996	1.884765625
0.036996	1.8896484375
0.037996	1.8896484375
0.038996	1.8896484375
0.039996	1.8896484375
0.040996	1.884765625
0.041996	1.8896484375
0.042996	1.8896484375
0.043996	1.8896484375
0.044996	1.8896484375
0.045996	1.8896484375
0.046996	1.8896484375
0.047996	1.8896484375
0.048996	1.89453125
0.05	1.884765625
0.050996	1.884765625
0.052	1.8896484375
0.053	1.8896484375
0.054	1.8896484375
0.055	1.884765625
0.056	1.8896484375
0.056996	1.8896484375
0.057996	1.8896484375
0.058996	1.8896484375
0.059996	1.8896484375
0.060996	1.8896484375
0.061996	1.8798828125
0.062996	1.884765625
0.063996	1.89453125
0.064996	1.89453125
0.065996	1.8896484375
0.066996	1.884765625
0.067996	1.884765625
0.068996	1.884765625
0.069996	1.884765625
0.070996	1.89453125
0.071996	1.8896484375
0.072996	1.884765625
0.073996	1.8896484375
0.074996	1.89453125
0.075996	1.884765625
0.076996	1.8896484375
0.077996	1.884765625
0.078996	1.8896484375
0.079996	1.8994140625
0.080996	1.8896484375
0.081996	1.8896484375
0.082996	1.8896484375
0.083996	1.89453125
0.084996	1.884765625
0.085996	1.8896484375
0.086996	1.8896484375
0.087996	1.8896484375
0.088996	1.884765625
0.089996	1.89453125
0.090996	1.89453125
0.091996	1.8896484375
0.093	1.8896484375
0.093996	1.8896484375
0.095	1.8896484375
0.096	1.8896484375
0.097	1.89453125
0.098	1.884765625
0.099	1.884765625
0.099996	1.8896484375
0.100996	1.8896484375
0.101996	1.884765625
0.102996	1.8896484375
0.103996	1.89453125
0.104996	1.8896484375
0.105996	1.8896484375
0.106996	1.89453125
0.107996	1.884765625
0.108996	1.89453125
0.109996	1.884765625
0.110996	1.884765625
0.111996	1.884765625
0.112996	1.89453125
0.113996	1.8896484375
0.114996	1.89453125
0.115996	1.89453125
0.116996	1.8896484375
0.117996	1.8896484375
0.118996	1.884765625
0.119996	1.884765625
0.120996	1.8896484375
0.121996	1.8798828125
0.122996	1.884765625
0.123996	1.8896484375
0.124996	1.8896484375
0.125996	1.8896484375
0.126996	1.8896484375
0.127996	1.8798828125
0.128996	1.8896484375
0.129996	1.884765625
0.130996	1.884765625
0.131996	1.8896484375
0.132996	1.8896484375
0.133996	1.884765625
0.135004	1.89453125
0.135996	1.8896484375
0.137	1.884765625
0.138	1.884765625
0.139	1.8896484375
0.14	1.8896484375
0.141	1.8896484375
0.141996	1.8896484375
0.142996	1.8896484375
0.143996	1.8896484375
0.144996	1.89453125
0.145996	1.89453125
0.146996	1.884765625
0.147996	1.884765625
0.148996	1.884765625
0.149996	1.8896484375
0.150996	1.8896484375
0.151996	1.884765625
0.152996	1.8798828125
0.153996	1.8896484375
0.154996	1.8896484375
0.155996	1.8896484375
0.156996	1.884765625
0.157996	1.8896484375
0.158996	1.89453125
0.159996	1.8896484375
0.160996	1.884765625
0.161996	1.8896484375
0.162996	1.8896484375
0.163996	1.884765625
0.164996	1.8896484375
0.165996	1.8896484375
0.166996	1.884765625
0.167996	1.884765625
0.168996	1.8896484375
0.169996	1.8798828125
0.170996	1.884765625
0.171996	1.884765625
0.172996	1.8798828125
0.173996	1.8896484375
0.174996	1.8896484375
0.175996	1.884765625
0.176996	1.884765625
0.178	1.89453125
0.178996	1.8896484375
0.18	1.8896484375
0.181	1.8896484375
0.182	1.8798828125
0.183	1.884765625
0.184	1.8896484375
0.184996	1.8896484375
0.185996	1.884765625
0.186996	1.884765625
0.187996	1.884765625
0.188996	1.8798828125
0.189996	1.8798828125
0.190996	1.884765625
0.191996	1.8896484375
0.192996	1.8798828125
0.193996	1.8896484375
0.194996	1.884765625
0.195996	1.884765625
0.196996	1.8798828125
0.197996	1.8896484375
0.198996	1.884765625
0.199996	1.8896484375
0.200996	1.884765625
0.201996	1.884765625
0.202996	1.884765625
0.203996	1.8798828125
0.204996	1.8896484375
0.205996	1.8798828125
0.206996	1.884765625
