Channel Accuracy: 10 Bits
Measurement Range 0...5V --> Resolution: 5V/2^10 = 4.9mV
Measured Single Channel at a Frequency of 100 Hz
Time (s)	Voltage (V)
0	2.32421875
0.01	2.32421875
0.02	2.3193359375
0.029996	2.3193359375
0.04	2.3193359375
0.049996	2.3193359375
0.059996	2.3193359375
0.069996	2.32421875
0.08	2.3193359375
0.089996	2.314453125
0.099996	2.3193359375
0.109996	2.314453125
0.119996	2.3193359375
0.129996	2.314453125
0.140004	2.314453125
0.150004	2.3193359375
0.159996	2.314453125
0.170004	2.3193359375
0.180004	2.3095703125
0.190004	2.314453125
0.199996	2.3046875
0.21	2.3095703125
0.219996	2.3095703125
0.229996	2.314453125
0.24	2.3046875
0.25	2.2998046875
0.260004	2.294921875
0.270004	2.2802734375
0.280004	2.275390625
0.289996	2.2607421875
0.299996	2.2509765625
0.309996	2.2509765625
0.319996	2.255859375
0.329996	2.24609375
0.339996	2.2607421875
0.349996	2.275390625
0.360004	2.2900390625
0.369996	2.3193359375
0.38	2.3779296875
0.389996	2.7294921875
0.400004	3.1982421875
0.409996	3.212890625
0.42	2.7294921875
0.429996	2.421875
0.440004	2.6318359375
0.450004	3.0712890625
0.459996	3.2421875
0.470004	2.880859375
0.480004	2.5
0.490004	2.5341796875
0.499996	2.9638671875
0.509996	3.2275390625
0.520004	3.0029296875
0.530004	2.5830078125
0.539996	2.490234375
0.55	2.83203125
0.559996	3.173828125
0.569996	3.1005859375
0.58	2.6904296875
0.589996	2.4853515625
0.599996	2.7197265625
0.609996	3.10546875
0.619996	3.1591796875
0.63	2.7978515625
0.639996	2.5146484375
0.649996	2.63671875
0.659996	3.0029296875
0.669996	3.1689453125
0.68	2.9150390625
0.689996	2.5634765625
0.699996	2.5634765625
0.709996	2.900390625
0.72	3.154296875
0.729996	2.998046875
0.739996	2.65625
0.749996	2.5390625
0.759996	2.8173828125
0.769996	3.10546875
0.780004	3.06640625
0.790004	2.7392578125
0.799996	2.5439453125
0.810004	2.7099609375
0.820004	3.046875
0.830004	3.1005859375
0.839996	2.8466796875
0.85	2.568359375
0.859996	2.646484375
0.869996	2.958984375
0.88	3.1201171875
0.89	2.9150390625
0.900004	2.6171875
0.910004	2.6025390625
0.920004	2.8759765625
0.929996	3.10546875
0.939996	2.98828125
0.949996	2.6904296875
0.959996	2.5830078125
0.969996	2.783203125
0.979996	3.0712890625
0.989996	3.0419921875
1.000004	2.763671875
1.009996	2.5830078125
1.02	2.71484375
1.029996	2.9931640625
1.040004	3.076171875
1.049996	2.8466796875
1.06	2.6123046875
1.069996	2.6513671875
1.080004	2.919921875
1.090004	3.0859375
1.099996	2.9150390625
1.110004	2.65625
1.120004	2.6220703125
1.130004	2.8564453125
1.139996	3.06640625
1.149996	2.978515625
1.160004	2.71484375
1.170004	2.6025390625
1.179996	2.7880859375
1.19	3.0224609375
1.199996	3.02734375
1.209996	2.79296875
1.22	2.6171875
1.229996	2.71484375
1.239996	2.9638671875
1.249996	3.0517578125
1.259996	2.861328125
1.27	2.646484375
1.279996	2.6806640625
1.289996	2.900390625
1.299996	3.046875
1.309996	2.919921875
1.32	2.6904296875
1.329996	2.6416015625
1.339996	2.8466796875
1.349996	3.02734375
1.36	2.96875
1.369996	2.734375
1.379996	2.63671875
1.389996	2.7783203125
1.399996	3.0029296875
1.409996	3.0126953125
1.420004	2.7978515625
1.430004	2.63671875
1.439996	2.7099609375
1.450004	2.939453125
1.460004	3.017578125
1.470004	2.861328125
1.479996	2.6708984375
1.49	2.67578125
1.499996	2.8955078125
1.509996	3.0126953125
1.52	2.919921875
1.53	2.7099609375
1.540004	2.666015625
1.550004	2.841796875
1.560004	3.0078125
1.569996	2.9638671875
1.579996	2.744140625
1.589996	2.65625
1.599996	2.7490234375
1.609996	2.96875
1.619996	2.998046875
1.629996	2.822265625
1.640004	2.6611328125
1.649996	2.71484375
1.66	2.91015625
1.669996	3.0126953125
1.680004	2.87109375
1.689996	2.685546875
1.7	2.6806640625
1.709996	2.87109375
1.720004	3.0029296875
1.730004	2.9150390625
1.739996	2.7294921875
1.750004	2.6708984375
1.760004	2.822265625
1.770004	2.978515625
1.779996	2.94921875
1.789996	2.783203125
1.800004	2.6708984375
1.810004	2.7587890625
1.819996	2.939453125
1.83	2.978515625
1.839996	2.8369140625
1.849996	2.6904296875
1.86	2.7197265625
1.869996	2.890625
1.879996	2.98828125
1.889996	2.880859375
1.899996	2.71484375
1.91	2.6904296875
1.919996	2.8564453125
1.929996	2.9833984375
1.939996	2.919921875
1.949996	2.734375
1.96	2.6806640625
1.969996	2.8076171875
1.979996	2.94921875
1.989996	2.9443359375
2.0	2.8125
2.009996	2.6904296875
2.019996	2.7392578125
2.029996	2.9150390625
2.039996	2.9638671875
2.049996	2.8515625
2.060004	2.7099609375
2.070004	2.7197265625
2.079996	2.8759765625
2.090004	2.9638671875
2.100004	2.890625
2.110004	2.7197265625
2.119996	2.7001953125
2.13	2.8515625
2.139996	2.9541015625
2.149996	2.9248046875
2.16	2.763671875
2.17	2.6953125
2.180004	2.7880859375
2.190004	2.9248046875
2.200004	2.9443359375
2.209996	2.8271484375
2.219996	2.71484375
2.229996	2.724609375
2.239996	2.8955078125
2.249996	2.958984375
2.259996	2.8662109375
2.269996	2.71484375
2.280004	2.7197265625
2.289996	2.8662109375
2.3	2.9541015625
2.309996	2.890625
2.320004	2.7392578125
2.329996	2.705078125
2.34	2.8173828125
2.349996	2.9345703125
2.360004	2.9248046875
2.370004	2.7978515625
2.379996	2.71484375
2.390004	2.783203125
2.400004	2.9052734375
2.410004	2.9345703125
2.419996	2.8466796875
2.429996	2.724609375
2.440004	2.734375
2.450004	2.880859375
2.459996	2.9443359375
2.47	2.8759765625
2.479996	2.7294921875
2.489996	2.7197265625
2.5	2.841796875
2.509996	2.9345703125
2.519996	2.9052734375
2.529996	2.783203125
2.539996	2.71484375
