Channel Accuracy: 10 Bits
Measurement Range 0...5V --> Resolution: 5V/2^10 = 4.9mV
Measured Single Channel at a Frequency of 100 Hz
Time (s)	Voltage (V)
0	2.4560546875
0.01	2.4658203125
0.02	2.4658203125
0.03	2.4609375
0.040004	2.4609375
0.05	2.4609375
0.06	2.4609375
0.07	2.451171875
0.08	2.4609375
0.09	2.4609375
0.1	2.4609375
0.11	2.4560546875
0.12	2.4609375
0.13	2.4609375
0.14	2.4560546875
0.15	2.4609375
0.16	2.4609375
0.17	2.4609375
0.18	2.4560546875
0.19	2.4658203125
0.2	2.4609375
0.21	2.4658203125
0.220004	2.4560546875
0.23	2.4609375
0.24	2.4658203125
0.249996	2.4560546875
0.26	2.4560546875
0.27	2.451171875
0.28	2.4560546875
0.29	2.4609375
0.3	2.451171875
0.309996	2.451171875
0.32	2.44140625
0.33	2.509765625
0.340004	2.783203125
0.350004	3.1494140625
0.359996	3.0859375
0.37	2.734375
0.38	2.5048828125
0.39	2.705078125
0.4	3.056640625
0.41	3.134765625
0.42	2.83203125
0.43	2.5341796875
0.44	2.6220703125
0.45	2.9833984375
0.46	3.1494140625
0.47	2.9052734375
0.48	2.59765625
0.49	2.578125
0.5	2.890625
0.51	3.125
0.52	2.9931640625
0.53	2.6708984375
0.54	2.548828125
0.55	2.783203125
0.56	3.095703125
0.57	3.06640625
0.58	2.7392578125
0.59	2.55859375
0.6	2.705078125
0.609996	3.02734375
0.62	3.0908203125
0.63	2.83203125
0.64	2.5830078125
0.650004	2.6513671875
0.66	2.9443359375
0.67	3.0908203125
0.68	2.91015625
0.69	2.6318359375
0.699996	2.607421875
0.71	2.87109375
0.72	3.0810546875
0.730004	2.9736328125
0.74	2.6904296875
0.75	2.587890625
0.76	2.7783203125
0.77	3.0517578125
0.78	3.0419921875
0.79	2.734375
0.8	2.5927734375
0.81	2.71484375
0.82	2.998046875
0.83	3.06640625
0.84	2.8515625
0.85	2.6123046875
0.860004	2.6806640625
0.87	2.9248046875
0.88	3.0615234375
0.889996	2.9052734375
0.9	2.6513671875
0.91	2.6416015625
0.92	2.861328125
0.93	3.0517578125
0.94	2.94921875
0.949996	2.71484375
0.96	2.6220703125
0.97	2.7978515625
0.980004	3.0224609375
0.990004	3.0029296875
0.999996	2.7685546875
1.01	2.6171875
1.02	2.71484375
1.03	2.9736328125
1.04	3.037109375
1.05	2.8466796875
1.06	2.6416015625
1.07	2.67578125
1.08	2.9150390625
1.09	3.037109375
1.1	2.890625
1.11	2.67578125
1.12	2.67578125
1.13	2.8662109375
1.14	3.02734375
1.15	2.9345703125
1.16	2.724609375
1.17	2.6416015625
1.18	2.802734375
1.19	2.998046875
1.2	2.9833984375
1.21	2.7685546875
1.22	2.6513671875
1.23	2.734375
1.24	2.958984375
1.249996	3.0078125
1.26	2.83203125
1.27	2.6611328125
1.28	2.705078125
1.290004	2.9052734375
1.3	3.0126953125
1.31	2.890625
1.32	2.6904296875
1.33	2.6708984375
1.339996	2.861328125
1.35	3.0029296875
1.36	2.9296875
1.370004	2.724609375
1.38	2.6611328125
1.39	2.8076171875
1.4	2.9833984375
1.41	2.96875
1.42	2.7783203125
1.43	2.666015625
1.44	2.7294921875
1.45	2.939453125
1.46	2.978515625
1.47	2.841796875
1.48	2.67578125
1.49	2.705078125
1.500004	2.900390625
1.51	2.98828125
1.52	2.880859375
1.529996	2.705078125
1.54	2.6806640625
1.55	2.8515625
1.56	2.978515625
1.57	2.9248046875
1.58	2.734375
1.589996	2.67578125
1.6	2.8076171875
1.61	2.958984375
1.620004	2.9443359375
1.630004	2.79296875
1.639996	2.6708984375
1.65	2.7392578125
1.66	2.9248046875
1.67	2.9638671875
1.68	2.8466796875
1.69	2.6806640625
1.7	2.71484375
1.71	2.8759765625
1.72	2.96875
1.73	2.880859375
1.74	2.7197265625
1.75	2.7001953125
1.76	2.8564453125
1.77	2.9541015625
1.78	2.9150390625
1.79	2.7392578125
1.8	2.685546875
1.81	2.8076171875
1.82	2.939453125
1.83	2.939453125
1.84	2.7978515625
1.85	2.685546875
1.86	2.7392578125
1.87	2.9052734375
1.88	2.94921875
1.889996	2.841796875
1.9	2.71484375
1.91	2.7197265625
1.92	2.8759765625
1.930004	2.9541015625
1.94	2.8857421875
1.95	2.7294921875
1.96	2.71484375
1.97	2.8369140625
1.979996	2.94921875
1.99	2.91015625
2.0	2.7685546875
2.010004	2.705078125
2.02	2.802734375
2.03	2.9248046875
2.04	2.9296875
2.05	2.8173828125
2.06	2.7099609375
2.07	2.734375
2.08	2.890625
2.09	2.9443359375
2.1	2.861328125
2.11	2.7197265625
2.12	2.71484375
2.13	2.8662109375
2.140004	2.939453125
2.15	2.8857421875
2.16	2.7294921875
2.169996	2.71484375
2.18	2.8271484375
2.19	2.9296875
2.2	2.91015625
2.21	2.783203125
2.22	2.7099609375
2.229996	2.79296875
2.24	2.91015625
2.25	2.9296875
2.260004	2.8271484375
2.270004	2.7197265625
2.279996	2.734375
2.29	2.8857421875
2.3	2.939453125
2.31	2.861328125
2.32	2.7294921875
2.33	2.7294921875
2.34	2.8466796875
2.35	2.919921875
2.36	2.880859375
2.37	2.7587890625
2.38	2.71484375
2.39	2.8173828125
2.4	2.9248046875
2.41	2.91015625
2.42	2.8076171875
2.43	2.7099609375
2.44	2.7880859375
2.45	2.890625
2.46	2.9248046875
2.47	2.841796875
2.48	2.724609375
2.49	2.744140625
2.5	2.87109375
2.51	2.9296875
2.52	2.87109375
2.529996	2.7392578125
2.54	2.724609375
2.55	2.8466796875
2.56	2.919921875
2.570004	2.890625
2.58	2.7880859375
2.59	2.7197265625
2.6	2.8125
2.61	2.900390625
2.619996	2.91015625
2.63	2.8173828125
2.64	2.7197265625
2.650004	2.7783203125
2.66	2.880859375
2.67	2.9150390625
2.68	2.8466796875
2.69	2.734375
2.7	2.734375
2.71	2.8515625
2.72	2.9150390625
2.73	2.8759765625
2.74	2.763671875
2.75	2.734375
2.76	2.83203125
2.77	2.9052734375
2.780004	2.900390625
2.79	2.7978515625
2.8	2.7294921875
2.809996	2.7978515625
2.82	2.8955078125
2.83	2.91015625
2.84	2.83203125
2.85	2.734375
2.86	2.7587890625
2.869996	2.8662109375
2.88	2.9052734375
2.89	2.8662109375
2.900004	2.7490234375
2.910004	2.744140625
2.919996	2.8515625
2.93	2.91015625
2.94	2.8857421875
2.95	2.783203125
2.96	2.7294921875
2.97	2.8125
2.98	2.890625
2.99	2.890625
3.0	2.822265625
3.01	2.734375
3.02	2.7880859375
3.03	2.8759765625
3.04	2.900390625
3.05	2.841796875
3.06	2.734375
3.07	2.7587890625
3.08	2.8564453125
3.09	2.9052734375
3.1	2.87109375
3.11	2.7734375
3.12	2.744140625
3.13	2.8271484375
3.14	2.8955078125
3.15	2.8857421875
3.16	2.8125
3.169996	2.734375
3.18	2.8076171875
3.19	2.8759765625
3.2	2.8955078125
3.210004	2.8271484375
3.22	2.734375
3.23	2.7783203125
3.24	2.861328125
3.25	2.900390625
3.259996	2.8564453125
3.27	2.7685546875
3.28	2.7490234375
3.290004	2.8515625
3.3	2.890625
3.31	2.8759765625
3.32	2.79296875
3.33	2.7392578125
3.34	2.8173828125
3.35	2.8759765625
3.36	2.880859375
3.37	2.822265625
3.38	2.7392578125
3.39	2.7978515625
3.4	2.87109375
3.41	2.900390625
3.420004	2.841796875
3.43	2.7587890625
3.44	2.7685546875
3.449996	2.861328125
3.46	2.8955078125
3.47	2.861328125
3.48	2.783203125
3.49	2.7392578125
3.5	2.8369140625
3.509996	2.890625
3.52	2.880859375
3.53	2.802734375
3.540004	2.7490234375
3.550004	2.802734375
3.559996	2.87109375
