Channel Accuracy: 10 Bits
Measurement Range 0...5V --> Resolution: 5V/2^10 = 4.9mV
Measured Single Channel at a Frequency of 100 Hz
Time (s)	Voltage (V)
0	2.3681640625
0.01	2.3779296875
0.019996	2.3681640625
0.029996	2.3779296875
0.039996	2.373046875
0.049996	2.3681640625
0.060004	2.36328125
0.069996	2.3681640625
0.079996	2.373046875
0.090004	2.3681640625
0.100004	2.373046875
0.109996	2.373046875
0.119996	2.3779296875
0.130004	2.373046875
0.140004	2.3779296875
0.149996	2.3681640625
0.16	2.3681640625
0.170004	2.373046875
0.180004	2.373046875
0.190004	2.3681640625
0.199996	2.3681640625
0.210004	2.373046875
0.220004	2.3681640625
0.230004	2.373046875
0.239996	2.3681640625
0.249996	2.373046875
0.259996	2.36328125
0.269996	2.373046875
0.28	2.373046875
0.29	2.373046875
0.299996	2.3779296875
0.309996	2.3876953125
0.319996	2.392578125
0.33	2.44140625
0.339996	2.6318359375
0.349996	2.96875
0.359996	3.1982421875
0.369996	3.1298828125
0.379996	2.861328125
0.389996	2.5537109375
0.400004	2.4658203125
0.409996	2.67578125
0.419996	2.98828125
0.430004	3.18359375
0.440004	3.10546875
0.449996	2.841796875
0.46	2.5537109375
0.469996	2.4853515625
0.480004	2.7197265625
0.489996	2.98828125
0.499996	3.1689453125
0.510004	3.0810546875
0.520004	2.8125
0.530004	2.55859375
0.539996	2.51953125
0.550004	2.7392578125
0.560004	3.0126953125
0.570004	3.1591796875
0.579996	3.056640625
0.589996	2.79296875
0.599996	2.548828125
0.609996	2.5341796875
0.619996	2.7587890625
0.63	3.017578125
0.639996	3.1494140625
0.649996	3.037109375
0.659996	2.7783203125
0.669996	2.55859375
0.679996	2.568359375
0.689996	2.783203125
0.700004	3.0224609375
0.709996	3.125
0.719996	2.998046875
0.730004	2.763671875
0.740004	2.5634765625
0.749996	2.587890625
0.759996	2.7880859375
0.770004	3.02734375
0.780004	3.10546875
0.789996	2.98828125
0.8	2.7490234375
0.810004	2.5634765625
0.820004	2.6025390625
0.830004	2.822265625
0.839996	3.0419921875
0.850004	3.0908203125
0.860004	2.96875
0.870004	2.734375
0.879996	2.578125
0.889996	2.6220703125
0.899996	2.8271484375
0.909996	3.037109375
0.92	3.0810546875
0.93	2.9345703125
0.939996	2.75390625
0.949996	2.5830078125
0.959996	2.646484375
0.97	2.8466796875
0.979996	3.037109375
0.989996	3.06640625
0.999996	2.919921875
1.009996	2.734375
1.019996	2.5830078125
1.029996	2.65625
1.040004	2.8564453125
1.049996	3.02734375
1.059996	3.056640625
1.070004	2.900390625
1.080004	2.7294921875
1.089996	2.6025390625
1.1	2.685546875
1.109996	2.861328125
1.120004	3.02734375
1.129996	3.046875
1.139996	2.880859375
1.150004	2.724609375
1.160004	2.59765625
1.170004	2.7099609375
1.179996	2.87109375
1.190004	3.02734375
1.200004	3.02734375
1.210004	2.87109375
1.219996	2.7197265625
1.229996	2.6171875
1.239996	2.7294921875
1.249996	2.880859375
1.259996	3.0224609375
1.27	3.0224609375
1.279996	2.8662109375
1.289996	2.7099609375
1.299996	2.6171875
1.309996	2.744140625
1.319996	2.890625
1.329996	3.02734375
1.340004	3.0126953125
1.349996	2.841796875
1.359996	2.7001953125
1.370004	2.6220703125
1.380004	2.75390625
1.389996	2.9052734375
1.399996	3.017578125
1.410004	2.998046875
1.420004	2.8369140625
1.429996	2.6904296875
1.44	2.6416015625
1.450004	2.75390625
