Channel Accuracy: 10 Bits
Measurement Range 0...5V --> Resolution: 5V/2^10 = 4.9mV
Measured Single Channel at a Frequency of 100 Hz
Time (s)	Voltage (V)
0	1.6552734375
0.009996	1.6552734375
0.019996	1.6552734375
0.029996	1.6552734375
0.039996	1.6552734375
0.050004	1.650390625
0.059996	1.6552734375
0.069996	1.6552734375
0.080004	1.6552734375
0.090004	1.650390625
0.099996	1.6552734375
0.11	1.6552734375
0.119996	1.6552734375
0.130004	1.6552734375
0.139996	1.6552734375
0.15	1.66015625
0.159996	1.650390625
0.170004	1.66015625
0.180004	1.6552734375
0.189996	1.6552734375
0.200004	1.650390625
0.210004	1.6552734375
0.220004	1.66015625
0.229996	1.6552734375
0.239996	1.6552734375
0.249996	1.6552734375
0.259996	1.6552734375
0.269996	1.6552734375
0.279996	1.6552734375
0.289996	1.650390625
0.299996	1.6552734375
0.309996	1.6552734375
0.319996	1.650390625
0.329996	1.650390625
0.339996	1.6552734375
0.349996	1.66015625
0.36	1.6552734375
0.369996	1.6552734375
0.379996	1.66015625
0.389996	1.6552734375
0.399996	1.650390625
0.409996	1.6552734375
0.420004	1.6552734375
0.430004	1.650390625
0.439996	1.650390625
0.45	1.6552734375
0.460004	1.6552734375
0.470004	1.650390625
0.479996	1.6552734375
0.489996	1.6552734375
0.500004	1.650390625
0.510004	1.66015625
0.520004	1.6552734375
0.529996	1.66015625
0.539996	1.6552734375
0.549996	1.6552734375
0.559996	1.6552734375
0.57	1.6552734375
0.579996	1.650390625
0.589996	1.650390625
0.599996	1.650390625
0.609996	1.6552734375
0.619996	1.66015625
0.629996	1.650390625
0.639996	1.6552734375
0.649996	1.650390625
0.659996	1.650390625
0.669996	1.6552734375
0.679996	1.6552734375
0.690004	1.650390625
0.699996	1.6552734375
0.709996	1.6552734375
0.720004	1.6552734375
0.730004	1.6552734375
0.739996	1.6552734375
0.75	1.6552734375
0.760004	1.650390625
0.770004	1.650390625
0.779996	1.6552734375
0.79	1.650390625
0.800004	1.66015625
0.810004	1.66015625
0.820004	1.66015625
0.829996	1.66015625
0.839996	1.6455078125
0.850004	1.650390625
0.860004	1.650390625
0.869996	1.66015625
0.879996	1.650390625
0.889996	1.650390625
0.899996	1.650390625
0.909996	1.650390625
0.92	1.6552734375
0.929996	1.650390625
0.939996	1.650390625
0.949996	1.6455078125
0.96	1.6552734375
0.969996	1.6552734375
0.979996	1.6552734375
0.989996	1.650390625
1.0	1.6552734375
1.009996	1.6552734375
1.019996	1.6552734375
1.029996	1.6552734375
1.039996	1.650390625
1.049996	1.6552734375
1.059996	1.650390625
1.070004	1.650390625
1.079996	1.6552734375
1.09	1.650390625
1.099996	1.6552734375
1.110004	1.650390625
1.119996	1.650390625
1.129996	1.6552734375
1.140004	1.6552734375
1.150004	1.650390625
1.160004	1.6552734375
1.169996	1.6552734375
1.180004	1.66015625
1.190004	1.6552734375
1.200004	1.66015625
1.209996	1.66015625
1.219996	1.66015625
1.229996	1.6748046875
1.239996	1.7333984375
1.249996	1.85546875
1.26	2.01171875
1.269996	2.20703125
1.279996	2.451171875
1.289996	2.7392578125
1.299996	2.98828125
1.309996	3.212890625
1.319996	3.447265625
1.330004	3.6474609375
1.339996	3.7841796875
1.349996	3.8330078125
1.360004	3.84765625
1.370004	3.798828125
1.379996	3.642578125
1.39	3.4423828125
1.399996	3.2373046875
1.410004	3.0126953125
1.419996	2.7392578125
1.43	2.48046875
1.439996	2.255859375
1.450004	2.0751953125
1.460004	1.9091796875
1.469996	1.8017578125
1.480004	1.81640625
1.490004	1.8798828125
1.500004	1.982421875
1.509996	2.138671875
1.519996	2.3681640625
1.529996	2.6171875
1.539996	2.8271484375
1.549996	3.056640625
1.559996	3.3056640625
1.569996	3.505859375
1.579996	3.6083984375
1.589996	3.720703125
1.599996	3.779296875
1.609996	3.76953125
1.619996	3.6328125
1.629996	3.49609375
1.64	3.330078125
1.649996	3.1103515625
1.659996	2.8759765625
1.669996	2.6318359375
1.679996	2.421875
1.689996	2.2314453125
1.700004	2.05078125
1.710004	1.9287109375
1.719996	1.8798828125
1.73	1.8701171875
1.740004	1.9091796875
1.750004	2.0263671875
1.759996	2.2021484375
1.769996	2.392578125
1.780004	2.587890625
1.790004	2.83203125
1.800004	3.0517578125
1.809996	3.2568359375
1.819996	3.4228515625
1.829996	3.5595703125
1.839996	3.6962890625
1.85	3.720703125
1.859996	3.671875
1.869996	3.583984375
1.879996	3.4765625
1.889996	3.291015625
1.899996	3.0810546875
1.909996	2.8759765625
1.919996	2.6708984375
1.929996	2.451171875
1.939996	2.255859375
1.949996	2.099609375
1.959996	1.9970703125
1.970004	1.9287109375
1.979996	1.8994140625
1.989996	1.953125
2.000004	2.0751953125
2.010004	2.216796875
2.019996	2.3828125
2.03	2.587890625
2.040004	2.8271484375
2.050004	3.0126953125
2.059996	3.203125
2.07	3.3837890625
2.080004	3.5498046875
2.090004	3.6181640625
2.100004	3.642578125
2.109996	3.6328125
2.119996	3.564453125
2.130004	3.4423828125
2.140004	3.251953125
2.149996	3.0859375
2.159996	2.8955078125
2.169996	2.6806640625
2.179996	2.4755859375
2.189996	2.294921875
2.2	2.1630859375
2.209996	2.03125
2.219996	1.9580078125
2.229996	1.953125
2.24	2.01171875
2.249996	2.099609375
2.259996	2.2216796875
2.269996	2.412109375
2.28	2.607421875
2.289996	2.8076171875
2.299996	2.998046875
2.309996	3.193359375
2.319996	3.3642578125
2.329996	3.5009765625
2.339996	3.5546875
2.350004	3.5986328125
2.359996	3.5986328125
2.37	3.53515625
2.379996	3.4033203125
2.390004	3.2568359375
2.399996	3.095703125
2.409996	2.890625
2.420004	2.685546875
2.430004	2.5
2.440004	2.3388671875
2.449996	2.1875
2.460004	2.0703125
2.470004	2.0166015625
2.480004	2.01171875
2.489996	2.0458984375
2.499996	2.109375
2.509996	2.2607421875
2.519996	2.4267578125
2.529996	2.6025390625
2.54	2.7978515625
2.549996	2.9833984375
2.559996	3.1689453125
2.569996	3.3203125
2.579996	3.4423828125
2.589996	3.5400390625
2.599996	3.5693359375
2.610004	3.5595703125
2.619996	3.4912109375
