Channel Accuracy: 10 Bits
Measurement Range 0...5V --> Resolution: 5V/2^10 = 4.9mV
Measured two channels at a Frequency of 500 Hz
Time (s)	Ch.1 (V)	Ch.2 (V)
0	2.8564453125	0.6689453125
0.002	2.861328125	0.673828125
0.004	2.861328125	0.6640625
0.006	2.8662109375	0.6640625
0.007996	2.8515625	0.673828125
0.01	2.8564453125	0.6689453125
0.011996	2.8515625	0.6787109375
0.014	2.8515625	0.6640625
0.015996	2.8466796875	0.673828125
0.018	2.861328125	0.6787109375
0.019996	2.8564453125	0.68359375
0.022	2.861328125	0.6787109375
0.023996	2.8564453125	0.68359375
0.026	2.8564453125	0.68359375
0.027996	2.8564453125	0.68359375
0.03	2.8564453125	0.6787109375
0.031996	2.8564453125	0.673828125
0.034	2.8515625	0.68359375
0.036008	2.861328125	0.68359375
0.038	2.861328125	0.6884765625
0.04	2.861328125	0.6884765625
0.042	2.8515625	0.693359375
0.044	2.861328125	0.6884765625
0.046	2.861328125	0.6884765625
0.048	2.8515625	0.693359375
0.049996	2.8515625	0.693359375
0.052	2.861328125	0.693359375
0.053996	2.861328125	0.6884765625
0.056	2.8564453125	0.6884765625
0.057996	2.8564453125	0.693359375
0.06	2.861328125	0.693359375
0.061996	2.8564453125	0.6982421875
0.064	2.861328125	0.6884765625
0.065996	2.861328125	0.703125
0.068	2.861328125	0.703125
0.069996	2.8564453125	0.693359375
0.072	2.8564453125	0.6982421875
0.073996	2.8564453125	0.703125
0.076	0.0	0.703125
0.077996	0.0	0.68359375
0.080004	0.0	0.703125
0.082	0.0	0.6982421875
0.084	0.0	0.7080078125
0.086	0.0	0.693359375
0.088	0.0	0.7177734375
0.09	0.0	0.6982421875
0.091996	0.0	0.703125
0.094	0.0	0.703125
0.095996	0.0	0.7080078125
0.098	0.0	0.6884765625
0.099996	0.0	0.7080078125
0.102	0.0	0.7080078125
0.103996	0.0	0.703125
0.106	0.0	0.712890625
0.107996	0.0	0.7177734375
0.11	0.0	0.7177734375
0.111996	0.0	0.7177734375
0.114	0.0	0.7177734375
0.115996	0.0	0.7177734375
0.118	0.0	0.7177734375
0.119996	0.0	0.7080078125
0.122004	0.0	0.732421875
0.124	0.1513671875	0.712890625
0.126	0.41015625	0.712890625
0.128	0.673828125	0.703125
0.13	0.9130859375	0.7177734375
0.132	1.1865234375	0.7080078125
0.134	1.435546875	0.72265625
0.135996	1.69921875	0.7080078125
0.138	1.93359375	0.7177734375
0.139996	2.1484375	0.72265625
0.142	2.32421875	0.703125
0.143996	2.4609375	0.712890625
0.146	2.578125	0.712890625
0.147996	2.6611328125	0.712890625
0.15	2.71484375	0.7177734375
0.151996	2.763671875	0.7080078125
0.154	2.79296875	0.7080078125
0.155996	2.802734375	0.7177734375
0.158	2.8173828125	0.7275390625
0.159996	2.8271484375	0.7177734375
