Channel Accuracy: 10 Bits
Measurement Range 0...5V --> Resolution: 5V/2^10 = 4.9mV
Measured Single Channel at a Frequency of 500 Hz
Time (s)	Voltage (V)
0	0.4052734375
0.002004	0.4150390625
0.003996	0.400390625
0.005996	0.4150390625
0.007996	0.4150390625
0.009996	0.41015625
0.012008	0.4150390625
0.013996	0.4150390625
0.016	0.4150390625
0.018	0.4150390625
0.019996	0.419921875
0.021996	0.4150390625
0.023996	0.4150390625
0.025996	0.4150390625
0.027996	0.4150390625
0.029996	0.4150390625
0.031996	0.4150390625
0.033996	0.41015625
0.035996	0.4150390625
0.037996	0.400390625
0.039996	0.4052734375
0.041996	0.400390625
0.043996	0.4150390625
0.045996	0.41015625
0.047996	0.4150390625
0.049996	0.400390625
0.051996	0.41015625
0.053996	0.4150390625
0.056	0.41015625
0.057996	0.41015625
0.06	0.4150390625
0.062	0.4150390625
0.063996	0.4052734375
0.065996	0.41015625
0.067996	0.4052734375
0.069996	0.4150390625
0.071996	0.41015625
0.073996	0.4150390625
0.075996	0.400390625
0.077996	0.4150390625
0.079996	0.4150390625
0.081996	0.4052734375
0.083996	0.4052734375
0.085996	0.4052734375
0.087996	0.41015625
0.089996	0.41015625
0.091996	0.419921875
0.093996	0.4052734375
0.095996	0.4150390625
0.098	0.4150390625
0.099996	0.4150390625
0.102	0.4150390625
0.104	0.419921875
0.105996	0.4150390625
0.107996	0.41015625
0.109996	0.41015625
0.111996	0.4150390625
0.113996	0.419921875
0.115996	0.4052734375
0.117996	0.4052734375
0.119996	0.400390625
0.121996	0.4150390625
0.123996	0.4150390625
0.125996	0.4150390625
0.127996	0.41015625
0.129996	0.41015625
0.131996	0.4052734375
0.133996	0.4150390625
0.135996	0.4150390625
0.137996	0.4052734375
0.140008	0.419921875
0.141996	0.4150390625
0.144	0.4150390625
0.146	0.4052734375
0.147996	0.419921875
0.149996	0.400390625
0.151996	0.4052734375
0.153996	0.4150390625
0.155996	0.4150390625
0.157996	0.41015625
0.159996	0.4150390625
0.161996	0.4150390625
0.163996	0.41015625
0.165996	0.41015625
0.167996	0.4052734375
0.169996	0.4150390625
0.171996	0.3955078125
0.173996	0.4150390625
0.175996	0.4150390625
0.177996	0.41015625
0.179996	0.419921875
0.181996	0.4150390625
0.184	0.4150390625
0.185996	0.4052734375
0.188	0.419921875
0.19	0.4052734375
0.191996	0.41015625
0.193996	0.3857421875
0.195996	0.4150390625
0.197996	0.41015625
0.199996	0.4150390625
0.201996	0.41015625
0.203996	0.4150390625
0.205996	0.400390625
0.207996	0.4052734375
0.209996	0.41015625
0.211996	0.41015625
0.213996	0.4150390625
0.215996	0.4150390625
0.217996	0.4150390625
0.219996	0.4052734375
0.221996	0.4052734375
0.223996	0.41015625
0.226	0.4150390625
0.227996	0.41015625
0.23	0.4052734375
0.232	0.4052734375
0.233996	0.4150390625
0.235996	0.4248046875
0.237996	0.400390625
0.239996	0.41015625
0.241996	0.41015625
0.243996	0.41015625
0.245996	0.4150390625
0.247996	0.419921875
0.249996	0.419921875
0.251996	0.4052734375
0.253996	0.400390625
0.255996	0.419921875
0.257996	0.4150390625
