Channel Accuracy: 10 Bits
Measurement Range 0...5V --> Resolution: 5V/2^10 = 4.9mV
Measured two channels at a Frequency of 2000 Hz
Time (s)	Ch.1 (V)	Ch.2 (V)
0	3.4033203125	3.5888671875
0.000504	3.4033203125	3.5888671875
0.000996	3.408203125	3.564453125
0.001496	3.408203125	3.525390625
0.002	3.4033203125	3.49609375
0.002504	3.408203125	3.4716796875
0.002996	3.4033203125	3.427734375
0.003496	3.3935546875	3.4033203125
0.003996	3.3984375	3.37890625
0.004496	3.3984375	3.3544921875
0.004996	3.3935546875	3.33984375
0.005496	3.3935546875	3.330078125
0.005996	3.4033203125	3.3203125
0.006496	3.3935546875	3.3056640625
0.006996	3.3984375	3.310546875
0.007496	3.3984375	3.3203125
0.007996	3.4033203125	3.3251953125
0.008496	3.3935546875	3.3447265625
0.008996	3.3984375	3.349609375
0.009496	3.388671875	3.349609375
0.009996	3.3984375	3.3642578125
0.010496	3.3984375	3.37890625
0.010996	3.3935546875	3.37890625
0.011496	3.3984375	3.3837890625
0.011996	3.4033203125	3.3984375
0.012496	3.3984375	3.3935546875
0.012996	3.4033203125	3.408203125
0.013496	3.3935546875	3.4033203125
0.014004	3.3984375	3.4033203125
0.014504	3.3984375	3.3984375
0.014996	3.3935546875	3.3984375
0.015504	3.3984375	3.3935546875
0.015996	3.3984375	3.3837890625
0.016496	3.3935546875	3.388671875
0.017	3.3984375	3.388671875
0.017504	3.4033203125	3.37890625
0.017996	3.3935546875	3.37890625
0.018496	3.3984375	3.3740234375
0.019	3.4033203125	3.3740234375
0.019504	3.3935546875	3.3740234375
0.019996	3.3935546875	3.37890625
0.020504	3.3984375	3.37890625
0.020996	3.3935546875	3.3740234375
0.021496	3.3984375	3.369140625
0.022	3.388671875	3.3837890625
0.022504	3.3984375	3.37890625
0.022996	3.3935546875	3.3740234375
0.023496	3.3984375	3.37890625
0.024	3.388671875	3.3837890625
0.024504	3.4033203125	3.37890625
0.024996	3.3837890625	3.3740234375
0.0255	3.3935546875	3.37890625
0.026	3.4033203125	3.3837890625
0.0265	3.3935546875	3.388671875
0.027	3.3984375	3.3837890625
0.0275	3.3984375	3.37890625
0.028	3.3984375	3.388671875
0.0285	3.3984375	3.37890625
0.029	3.3935546875	3.388671875
0.0295	3.4033203125	3.37890625
0.03	3.3984375	3.37890625
0.0305	3.3984375	3.3837890625
0.031	3.3935546875	3.3740234375
0.0315	3.3984375	3.37890625
0.032	3.3935546875	3.388671875
0.0325	3.3984375	3.37890625
0.033	3.3935546875	3.388671875
0.0335	3.3935546875	3.388671875
0.034	3.4033203125	3.388671875
0.0345	3.3984375	3.3837890625
0.035	3.3935546875	3.388671875
0.035508	3.3984375	3.3740234375
0.035996	3.3984375	3.388671875
0.036496	3.3837890625	3.388671875
0.037	3.3935546875	3.37890625
0.037504	3.3984375	3.388671875
0.037996	3.3984375	3.3837890625
0.038496	3.3984375	3.37890625
0.039	3.3935546875	3.3740234375
0.039504	3.3935546875	3.37890625
0.039996	3.3984375	1.494140625
0.040496	1.435546875	1.73828125
0.041	1.4501953125	1.9189453125
0.041504	1.4453125	2.0458984375
0.041996	1.4453125	2.1044921875
0.042496	1.4501953125	2.1435546875
0.043	1.4501953125	2.1240234375
0.043504	1.4453125	2.080078125
0.043996	1.4501953125	2.0068359375
0.044496	1.4453125	1.904296875
0.045	1.4501953125	1.806640625
0.045504	1.4404296875	1.6943359375
0.045996	1.4453125	1.5966796875
0.046496	1.435546875	1.494140625
