Channel Accuracy: 10 Bits
Measurement Range 0...5V --> Resolution: 5V/2^10 = 4.9mV
Measured two channels at a Frequency of 500 Hz
Time (s)	Ch.1 (V)	Ch.2 (V)
0	1.9873046875	2.16796875
0.001996	1.7138671875	1.8701171875
0.003996	1.5234375	1.640625
0.005996	1.435546875	1.4990234375
0.007996	1.455078125	1.4599609375
0.009996	1.6064453125	1.533203125
0.012004	1.8310546875	1.7041015625
0.014	2.12890625	1.943359375
0.016004	2.4755859375	2.2607421875
0.018	2.7880859375	2.568359375
0.020004	3.0712890625	2.880859375
0.022	3.2861328125	3.125
0.024004	3.388671875	3.291015625
0.026	3.3642578125	3.3447265625
0.028004	3.2421875	3.28125
0.03	3.02734375	3.125
0.032004	2.7294921875	2.880859375
0.034	2.3974609375	2.5830078125
0.036004	2.0556640625	2.2509765625
0.038	1.767578125	1.953125
0.040004	1.5478515625	1.6845703125
0.041996	1.4501953125	1.5283203125
0.043996	1.455078125	1.4599609375
0.045996	1.5771484375	1.5185546875
0.047996	1.81640625	1.6796875
0.049996	2.119140625	1.93359375
0.051996	2.4658203125	2.2509765625
0.054004	2.8076171875	2.578125
0.056	3.0908203125	2.8857421875
0.058004	3.2958984375	3.14453125
0.06	3.3935546875	3.2958984375
0.062004	3.3642578125	3.3349609375
0.064	3.2080078125	3.2666015625
0.066004	2.9541015625	3.076171875
0.068	2.6513671875	2.8173828125
0.070004	2.294921875	2.4951171875
0.072	1.9677734375	2.158203125
0.074004	1.689453125	1.8505859375
0.076	1.50390625	1.6259765625
0.078004	1.435546875	1.484375
0.08	1.4990234375	1.4794921875
0.082004	1.6796875	1.5771484375
0.083996	1.962890625	1.796875
0.085996	2.2900390625	2.0947265625
0.087996	2.65625	2.421875
0.089996	2.978515625	2.7587890625
0.091996	3.232421875	3.037109375
0.093996	3.369140625	3.2470703125
0.095996	3.3837890625	3.3349609375
0.098004	3.26171875	3.30078125
0.1	3.037109375	3.14453125
0.102004	2.7294921875	2.880859375
0.104	2.3681640625	2.568359375
0.106004	2.021484375	2.2216796875
0.108	1.7138671875	1.9091796875
0.110004	1.5087890625	1.6455078125
0.112	1.4306640625	1.50390625
0.114004	1.4892578125	1.474609375
0.116	1.669921875	1.5771484375
0.118004	1.9580078125	1.7919921875
0.12	2.3046875	2.0947265625
0.122004	2.67578125	2.44140625
0.124	2.998046875	2.7734375
0.126004	3.251953125	3.06640625
0.127996	3.3740234375	3.26171875
0.129996	3.3642578125	3.3349609375
0.131996	3.2275390625	3.2763671875
0.133996	2.9833984375	3.1005859375
0.135996	2.63671875	2.822265625
0.137996	2.275390625	2.470703125
0.140004	1.9189453125	2.1337890625
0.142	1.640625	1.826171875
0.144004	1.474609375	1.591796875
0.146	1.4453125	1.4794921875
0.148004	1.5478515625	1.5087890625
0.15	1.7919921875	1.6552734375
0.152004	2.1240234375	1.9189453125
0.154	2.490234375	2.2509765625
0.156004	2.8466796875	2.607421875
0.158	3.154296875	2.9296875
0.160004	3.3349609375	3.18359375
0.162	3.3984375	3.3056640625
0.164004	3.2958984375	3.3203125
0.166	3.076171875	3.1787109375
0.168004	2.744140625	2.9248046875
0.169996	2.373046875	2.59765625
0.171996	2.0068359375	2.236328125
0.173996	1.69921875	1.8994140625
0.175996	1.4990234375	1.6357421875
0.177996	1.435546875	1.4892578125
0.179996	1.5234375	1.4990234375
0.182004	1.7529296875	1.6259765625
0.184	2.080078125	1.8798828125
0.186004	2.4609375	2.216796875
0.188	2.83203125	2.578125
0.190004	3.134765625	2.919921875
0.192	3.33984375	3.173828125
