Channel Accuracy: 10 Bits
Measurement Range 0...5V --> Resolution: 5V/2^10 = 4.9mV
Measured Single Channel at a Frequency of 1000 Hz
Time (s)	Voltage (V)
0	0.615234375
0.001004	0.6201171875
0.001996	0.6201171875
0.002996	0.625
0.003996	0.6103515625
0.004996	0.6201171875
0.005996	0.6201171875
0.006996	0.6201171875
0.007996	0.6201171875
0.008996	0.6201171875
0.009996	0.625
0.011004	0.6201171875
0.011996	0.615234375
0.013	0.615234375
0.014	0.6201171875
0.015	0.6201171875
0.016	0.6103515625
0.017	0.615234375
0.017996	0.625
0.018996	0.6201171875
0.019996	0.6201171875
0.020996	0.6201171875
0.021996	0.6103515625
0.022996	0.625
0.023996	0.6201171875
0.024996	0.6201171875
0.025996	0.6201171875
0.026996	0.6201171875
0.027996	0.6201171875
0.028996	0.615234375
0.029996	0.615234375
0.030996	0.615234375
0.031996	0.6103515625
0.032996	0.625
0.033996	0.615234375
0.034996	0.6201171875
0.035996	0.6201171875
0.036996	0.625
0.037996	0.6201171875
0.038996	0.615234375
0.039996	0.625
0.040996	0.6201171875
0.041996	0.6201171875
0.042996	0.6201171875
0.043996	0.6201171875
0.044996	0.6201171875
0.045996	0.6201171875
0.046996	0.6201171875
0.047996	0.6201171875
0.048996	0.6201171875
0.049996	0.6201171875
0.050996	0.6201171875
0.051996	0.6201171875
0.052996	0.6201171875
0.054	0.615234375
0.054996	0.6103515625
0.056	0.6201171875
0.057	0.6201171875
0.058	0.6201171875
0.059	0.615234375
0.06	0.6103515625
0.060996	0.615234375
0.061996	0.6201171875
0.062996	0.6201171875
0.063996	0.615234375
0.064996	0.625
0.065996	0.6201171875
0.066996	0.615234375
0.067996	0.615234375
0.068996	0.6103515625
0.069996	0.615234375
0.070996	0.6103515625
0.071996	0.615234375
0.072996	0.625
0.073996	0.615234375
0.074996	0.6201171875
0.075996	0.615234375
0.076996	0.625
0.077996	0.6201171875
0.078996	0.625
0.079996	0.6201171875
0.080996	0.615234375
0.081996	0.6201171875
0.082996	0.6103515625
0.083996	0.615234375
0.084996	0.615234375
0.085996	0.6103515625
0.086996	0.625
0.087996	0.6201171875
0.088996	0.6201171875
0.089996	0.6201171875
0.090996	0.6103515625
0.091996	0.615234375
0.092996	0.625
