omega(HZ), U_e(V), U_a(V), Delta_phi(deg)
100, 5.28, 3.58, 1
500, 5.32, 3.56, 8
1900, 5.44, 3.28, 26
2900, 5.44, 3.00, 36
3000, 5.44, 2.96, 37
3100, 5.44, 2.92, 37
3200, 5.44, 2.88, 38
3300, 5.44, 2.88, 39
3400, 5.44, 2.84, 40
3500, 5.44, 2.76, 41
3600, 5.44, 2.76, 41
3700, 5.44, 2.72, 42
3800, 5.44, 2.68, 43
3900, 5.44, 2.64, 44
4000, 5.44, 2.64, 45
4100, 5.44, 2.56, 46
4200, 5.44, 2.52, 46
4300, 5.44, 2.48, 47
4400, 5.44, 2.46, 48
4500, 5.44, 2.42, 48
4600, 5.44, 2.40, 49
4700, 5.44, 2.38, 50
4800, 5.44, 2.34, 50
4900, 5.44, 2.32, 51
5000, 5.44, 2.28, 51
5100, 5.44, 2.26, 52
7100, 5.44, 1.82, 61
15000, 5.44, 1.00, 74
30000, 5.36, 0.476, 81
